step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
40,9.9842578173e-01,4.5551095458e-03,-6.8874015782e-04,1.9837913526e-03,1.5426621437e-01,1.8716843738e-03,9.9140012264e-01,1.0025936365e+00,1.0022680759e+00,9.9463456869e-01,1.0012325048e+00,1.5567263961e-01,1.5645994246e-01,1.5451146662e-01,1.5106448531e-01,1.5362253785e-01
41,9.9842786789e-01,4.5548110904e-03,-6.8783210835e-04,1.9836569386e-03,1.6847776175e-01,1.9373429271e-03,9.9140268564e-01,1.0025956631e+00,1.0022701025e+00,9.9463695288e-01,1.0012339354e+00,1.6986393929e-01,1.7073424160e-01,1.6881896555e-01,1.6512544453e-01,1.6784621775e-01
42,9.9843848944e-01,4.5545523355e-03,-6.8321137811e-04,1.9835227517e-03,1.8349858820e-01,2.0064501697e-03,9.9141383171e-01,1.0026062727e+00,1.0022807121e+00,9.9464768171e-01,1.0012439489e+00,1.8486221135e-01,1.8581621349e-01,1.8394410610e-01,1.7998869717e-01,1.8288171291e-01
43,9.9845710993e-01,4.5543432198e-03,-6.7511144494e-04,1.9833945394e-03,1.9933440983e-01,2.0787673000e-03,9.9143272638e-01,1.0026246309e+00,1.0022994280e+00,9.9466657639e-01,1.0012621880e+00,2.0067295432e-01,2.0171053708e-01,1.9989320636e-01,1.9566060603e-01,1.9873474538e-01
44,9.9848276377e-01,4.5541659767e-03,-6.6395246527e-04,1.9832660280e-03,2.1598715782e-01,2.1540044686e-03,9.9145877361e-01,1.0026502609e+00,1.0023251772e+00,9.9469226599e-01,1.0012873411e+00,2.1729788184e-01,2.1841810644e-01,2.1666872501e-01,2.1214395761e-01,2.1540711820e-01
45,9.9851462841e-01,4.5540875392e-03,-6.5009257378e-04,1.9831682672e-03,2.3345449865e-01,2.2318178727e-03,9.9149084091e-01,1.0026823282e+00,1.0023571253e+00,9.9472415447e-01,1.0013186932e+00,2.3473440111e-01,2.3593541980e-01,2.3426896334e-01,2.2943741083e-01,2.3289629817e-01
46,9.9855182171e-01,4.5540087057e-03,-6.3391550788e-04,1.9830598664e-03,2.5172931552e-01,2.3117861188e-03,9.9152815342e-01,1.0027196407e+00,1.0023943186e+00,9.9476146698e-01,1.0013555288e+00,2.5297522545e-01,2.5425422192e-01,2.5268718600e-01,2.4753513932e-01,2.5119480491e-01
47,9.9859342575e-01,4.5539366391e-03,-6.1582075413e-04,1.9829457129e-03,2.7079919577e-01,2.3934487286e-03,9.9156981707e-01,1.0027612448e+00,1.0024360418e+00,9.9480324984e-01,1.0013967752e+00,2.7200785279e-01,2.7336075902e-01,2.7191141248e-01,2.6642608643e-01,2.7028986812e-01
48,9.9863842726e-01,4.5539311153e-03,-5.9624934122e-04,1.9828537842e-03,2.9064579606e-01,2.4763508135e-03,9.9161481857e-01,1.0028063059e+00,1.0024812222e+00,9.9484831095e-01,1.0014414787e+00,2.9181370139e-01,2.9323554039e-01,2.9192373157e-01,2.8609341383e-01,2.9016259313e-01
49,9.9868609905e-01,4.5539191110e-03,-5.7551755447e-04,1.9827537145e-03,3.1124452949e-01,2.5599622749e-03,9.9166250229e-01,1.0028541088e+00,1.0025290251e+00,9.9489605427e-01,1.0014888048e+00,3.1236833334e-01,3.1385284662e-01,3.1269949675e-01,3.0651429296e-01,3.1078767776e-01
50,9.9873549938e-01,4.5539336867e-03,-5.5403515042e-04,1.9826618300e-03,3.3256386518e-01,2.6437642762e-03,9.9171185493e-01,1.0029036999e+00,1.0025784969e+00,9.9494552612e-01,1.0015379190e+00,3.3364030719e-01,3.3518004417e-01,3.3420708776e-01,3.2765892148e-01,3.3213296533e-01
51,9.9878599644e-01,4.5539683884e-03,-5.3207695798e-04,1.9825765361e-03,3.5456514955e-01,2.7272143118e-03,9.9176228046e-01,1.0029543638e+00,1.0026291609e+00,9.9499607086e-01,1.0015881062e+00,3.5559123755e-01,3.5717749596e-01,3.5640761256e-01,3.4949055314e-01,3.5415884852e-01
52,9.9883676767e-01,4.5539424867e-03,-5.1000053858e-04,1.9824642632e-03,3.7720235586e-01,2.8098281542e-03,9.9181312323e-01,1.0030052662e+00,1.0026799440e+00,9.9504685402e-01,1.0016386509e+00,3.7817543745e-01,3.7979847193e-01,3.7925449014e-01,3.7196496129e-01,3.7681841850e-01
53,9.9888733625e-01,4.5539938501e-03,-4.8801350727e-04,1.9823861592e-03,4.0042198896e-01,2.8910599604e-03,9.9186354876e-01,1.0030560493e+00,1.0027306080e+00,9.9509751797e-01,1.0016889572e+00,4.0134000778e-01,4.0298888087e-01,4.0269324183e-01,3.9503052831e-01,4.0005728602e-01
54,9.9893711805e-01,4.5540146479e-03,-4.6636959348e-04,1.9822962391e-03,4.2416332364e-01,2.9704742736e-03,9.9191331863e-01,1.0031059980e+00,1.0027804375e+00,9.9514728785e-01,1.0017385483e+00,4.2502492666e-01,4.2668765783e-01,4.2666217685e-01,4.1862821579e-01,4.2381364107e-01
55,9.9898569584e-01,4.5539637400e-03,-4.4525005427e-04,1.9821775850e-03,4.4835886955e-01,3.0476228656e-03,9.9196189642e-01,1.0031546354e+00,1.0028289557e+00,9.9519604445e-01,1.0017869473e+00,4.4916346669e-01,4.5082730055e-01,4.5109233260e-01,4.4269210100e-01,4.4801914692e-01
56,9.9903268814e-01,4.5540096605e-03,-4.2482098164e-04,1.9821042715e-03,4.7293476462e-01,3.1220739536e-03,9.9200874567e-01,1.0032018423e+00,1.0028759241e+00,9.9524313211e-01,1.0018337965e+00,4.7368299961e-01,4.7533407807e-01,4.7590816021e-01,4.6714976430e-01,4.7259882092e-01
57,9.9907788038e-01,4.5539929811e-03,-4.0517523882e-04,1.9820072034e-03,4.9781202078e-01,3.1934659730e-03,9.9205398560e-01,1.0032471418e+00,1.0029209852e+00,9.9528831244e-01,1.0018789768e+00,4.9850559235e-01,5.0012952089e-01,5.0102883577e-01,4.9192336202e-01,4.9747279286e-01
58,9.9912098646e-01,4.5539338685e-03,-3.8643712459e-04,1.9818958872e-03,5.2290725708e-01,3.2614528540e-03,9.9209707975e-01,1.0032904148e+00,1.0029639006e+00,9.9533164501e-01,1.0019218922e+00,5.2354902029e-01,5.2513110638e-01,5.2636891603e-01,5.1693046093e-01,5.2255678177e-01
59,9.9916194677e-01,4.5539733224e-03,-3.6863270934e-04,1.9818317421e-03,5.4813408852e-01,3.3256676691e-03,9.9213790894e-01,1.0033316612e+00,1.0030047894e+00,9.9537271261e-01,1.0019626617e+00,5.4872810841e-01,5.5025339127e-01,5.5183988810e-01,5.4208546877e-01,5.4776358604e-01
60,9.9920058250e-01,4.5539735834e-03,-3.5183932664e-04,1.9817551929e-03,5.7340463400e-01,3.3859017058e-03,9.9217647314e-01,1.0033704042e+00,1.0030432940e+00,9.9541145563e-01,1.0020012856e+00,5.7395637035e-01,5.7540977001e-01,5.7735174894e-01,5.6730079651e-01,5.7300448418e-01
61,9.9923689365e-01,4.5539574537e-03,-3.3605690439e-04,1.9816761347e-03,5.9863059521e-01,3.4418452302e-03,9.9221271276e-01,1.0034068823e+00,1.0030794144e+00,9.9544793367e-01,1.0020375252e+00,5.9914666414e-01,6.0051339865e-01,6.0281383991e-01,5.9248834848e-01,5.9819072485e-01
62,9.9927068949e-01,4.5538943556e-03,-3.2136816877e-04,1.9815815577e-03,6.2372514009e-01,3.4932967027e-03,9.9224656820e-01,1.0034408569e+00,1.0031129122e+00,9.9548184872e-01,1.0020712614e+00,6.2421345711e-01,6.2547868490e-01,6.2813746929e-01,6.1756128073e-01,6.2323480844e-01
63,9.9930222034e-01,4.5538325612e-03,-3.0766430586e-04,1.9814921423e-03,6.4860383272e-01,3.5400969430e-03,9.9227809906e-01,1.0034724474e+00,1.0031441450e+00,9.9551355839e-01,1.0021028519e+00,6.4907300472e-01,6.5022295713e-01,6.5323626995e-01,6.4243489504e-01,6.4805203676e-01
