step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3
53,2.3254019531e+04,2.0823538455e+02,4.3664806753e+00,3.8797835380e-03,5.8135046856e-04,5.2058883942e-06,2.3540494141e+04,2.3051687500e+04,2.3169876953e+04,5.8851233916e-04,5.7629216462e-04,5.7924690191e-04
54,2.1531941406e+04,1.9741723570e+02,4.3330649897e+00,3.9729477946e-03,5.3829851095e-04,4.9354430357e-06,2.1801523438e+04,2.1334265625e+04,2.1460035156e+04,5.4503808497e-04,5.3335662233e-04,5.3650082555e-04
55,1.9946074870e+04,1.8725977201e+02,4.2998383586e+00,4.0687865629e-03,4.9865187611e-04,4.6814993941e-06,2.0199759766e+04,1.9753412109e+04,1.9885052734e+04,5.0499400822e-04,4.9383530859e-04,4.9712631153e-04
56,1.8484658203e+04,1.7784128061e+02,4.2667913759e+00,4.1703381984e-03,4.6211644076e-04,4.4460197530e-06,1.8723566406e+04,1.8297134766e+04,1.8433273438e+04,4.6808912884e-04,4.5742836664e-04,4.6083182679e-04
57,1.7137169271e+04,1.6890220378e+02,4.2339180420e+00,4.2729064232e-03,4.2842924207e-04,4.2225671894e-06,1.7362099609e+04,1.6955085938e+04,1.7094322266e+04,4.3405251927e-04,4.2387715075e-04,4.2735805619e-04
58,1.5893959635e+04,1.6058811546e+02,4.2012099843e+00,4.3811520453e-03,3.9734898989e-04,4.0147130370e-06,1.6105916992e+04,1.5717352539e+04,1.5858609375e+04,4.0264794370e-04,3.9293381269e-04,3.9646521327e-04
59,1.4746423828e+04,1.5275568873e+02,4.1686634532e+00,4.4926423868e-03,3.6866059721e-04,3.8189016478e-06,1.4946191406e+04,1.4575328125e+04,1.4717751953e+04,3.7365479511e-04,3.6438318784e-04,3.6794380867e-04
60,1.3686514323e+04,1.4536623653e+02,4.1362683983e+00,4.6073170809e-03,3.4216284985e-04,3.6341538770e-06,1.3874853516e+04,1.3520977539e+04,1.3663711914e+04,3.4687132575e-04,3.3802443068e-04,3.4159279312e-04
61,1.2707121419e+04,1.3840915420e+02,4.1040214502e+00,4.7258920811e-03,3.1767803982e-04,3.4602237833e-06,1.2884756836e+04,1.2547100586e+04,1.2689506836e+04,3.2211892540e-04,3.1367753400e-04,3.1723766006e-04
62,1.1801622070e+04,1.3178005230e+02,4.0719146552e+00,4.8457621453e-03,2.9504055662e-04,3.2945070911e-06,1.1969188477e+04,1.1647198242e+04,1.1788479492e+04,2.9922972317e-04,2.9117995291e-04,2.9471199377e-04
