step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
54,1.2758340391e-12,6.4631335477e-13,-1.1944571411e+01,2.0197182712e-01,6.3791700325e-16,3.2315666978e-16,9.2449662043e-03,9.1620563723e-03,8.5470682181e-13,7.8385204143e-13,2.1889432541e-12,4.2735340053e-16,3.9192600928e-16,1.0944715999e-15,2.0619422197e-02,8.9318640530e-03,-1.8163876375e-03
55,1.0800647124e-12,4.8283223537e-13,-1.2005850237e+01,1.7891836533e-01,5.4003232297e-16,2.4141610705e-16,9.2449663207e-03,9.1620562318e-03,7.7699121009e-13,7.0169553761e-13,1.7615073896e-12,3.8849557879e-16,3.5084774361e-16,8.8075364652e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
56,9.4591281784e-13,3.2591278037e-13,-1.2048316855e+01,1.4217090569e-01,4.7295640151e-16,1.6295637976e-16,9.2449663207e-03,9.1620562318e-03,7.9530988999e-13,6.4396399454e-13,1.3984645690e-12,3.9765494309e-16,3.2198199897e-16,6.9923226246e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
57,1.0188174450e-12,3.8804312688e-13,-1.2020477949e+01,1.5291703273e-01,5.0940871144e-16,1.9402156874e-16,9.2449662431e-03,9.1620563255e-03,7.7255031799e-13,7.1723865996e-13,1.5666633572e-12,3.8627513485e-16,3.5861932384e-16,7.8333167564e-16,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
58,8.2582371208e-13,2.6598495767e-13,-1.2103605620e+01,1.2976867678e-01,4.1291185936e-16,1.3299248039e-16,9.2449662431e-03,9.1620563255e-03,6.3377249412e-13,6.4174354849e-13,1.2019550936e-12,3.1688624875e-16,3.2087177700e-16,6.0097755231e-16,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
59,8.4872206196e-13,3.1469678015e-13,-1.2098687562e+01,1.5056581035e-01,4.2436102724e-16,1.5734839970e-16,9.2449662431e-03,9.1620563255e-03,5.7937156591e-13,6.7657679589e-13,1.2902178241e-12,2.8968577089e-16,3.3828838905e-16,6.4510892178e-16,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
60,8.0338793705e-13,2.3421531750e-13,-1.2112012128e+01,1.1834572031e-01,4.0169394911e-16,1.1710764761e-16,9.2449663207e-03,9.1620562318e-03,6.5986273520e-13,6.1662469835e-13,1.1336763776e-12,3.2993135024e-16,3.0831234303e-16,5.6683815407e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
61,7.4602643218e-13,1.9833984933e-13,-1.2141370956e+01,1.0819973037e-01,3.7301321058e-16,9.9169930995e-17,9.2449663595e-03,9.1620561849e-03,5.9102890767e-13,6.2106564466e-13,1.0259847442e-12,2.9551444282e-16,3.1053281344e-16,5.1299237549e-16,2.0619422197e-02,8.9318640530e-03,-1.8163871719e-03
62,7.7322689628e-13,1.9617441622e-13,-1.2124600937e+01,1.0355197218e-01,3.8661344511e-16,9.8087218378e-17,9.2449663207e-03,9.1620562318e-03,6.5320139705e-13,6.1662475256e-13,1.0498545392e-12,3.2660068434e-16,3.0831236950e-16,5.2492728148e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
63,7.9136053902e-13,2.5058254103e-13,-1.2121587528e+01,1.2839464426e-01,3.9568025342e-16,1.2529126743e-16,9.2449662431e-03,9.1620563255e-03,5.8658801557e-13,6.4327010515e-13,1.1442234963e-12,2.9329399889e-16,3.2163503309e-16,5.7211172826e-16,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
64,7.3941133526e-13,2.2920227277e-13,-1.2150161681e+01,1.2526804603e-01,3.6970567045e-16,1.1460113779e-16,9.2449662431e-03,9.1620563255e-03,5.9102890767e-13,5.6402788256e-13,1.0631772155e-12,2.9551444282e-16,2.8201395526e-16,5.3158861327e-16,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
65,6.9754669344e-13,2.4672066295e-13,-1.2181110072e+01,1.4228338143e-01,3.4877332463e-16,1.2336032394e-16,9.2449663595e-03,9.1620561849e-03,5.3940353703e-13,5.0726778464e-13,1.0459687587e-12,2.6970174903e-16,2.5363387813e-16,5.2298434672e-16,2.0619422197e-02,8.9318640530e-03,-1.8163871719e-03
66,7.4787680389e-13,3.1572810965e-13,-1.2162174687e+01,1.7286618561e-01,3.7393839997e-16,1.5786406517e-16,9.2449663207e-03,9.1620562318e-03,5.8936357314e-13,4.6563442121e-13,1.1886324173e-12,2.9468178297e-16,2.3281719642e-16,5.9431622052e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
67,7.5051358357e-13,2.9854881755e-13,-1.2155688988e+01,1.5913230572e-01,3.7525678910e-16,1.4927440107e-16,9.2449663595e-03,9.1620561849e-03,5.5050576727e-13,5.2850079998e-13,1.1725341835e-12,2.7525288533e-16,2.6425040380e-16,5.8626707818e-16,2.0619422197e-02,8.9318640530e-03,-1.8163871719e-03
68,7.2933839234e-13,2.7946430105e-13,-1.2167565449e+01,1.6055942223e-01,3.6466918608e-16,1.3973215824e-16,9.2449663207e-03,9.1620562318e-03,6.1687628746e-13,4.5744652640e-13,1.1136923632e-12,3.0843812743e-16,2.2872324796e-16,5.5684618285e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
69,7.1498644678e-13,2.8575208384e-13,-1.2177279283e+01,1.6086661655e-01,3.5749322000e-16,1.4287603908e-16,9.2449663595e-03,9.1620561849e-03,4.8333727428e-13,5.4404392233e-13,1.1175781437e-12,2.4166863778e-16,2.7202195756e-16,5.5878906467e-16,2.0619422197e-02,8.9318640530e-03,-1.8163871719e-03
70,6.6275970533e-13,2.6215560659e-13,-1.2209582591e+01,1.5926058581e-01,3.3137983834e-16,1.3107779053e-16,9.2449663207e-03,9.1620562318e-03,5.0609684629e-13,4.5009129887e-13,1.0320909708e-12,2.5304841954e-16,2.2504564266e-16,5.1604545281e-16,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
