step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
53,6.4004360437e-01,2.4261478248e-03,-1.9379354762e-01,1.6421851958e-03,2.8311536908e-01,3.4007298269e-03,6.3986146450e-01,6.3890039921e-01,6.3855880499e-01,6.3813674450e-01,6.4476060867e-01,2.8601956367e-01,2.8058460355e-01,2.8282144666e-01,2.7844440937e-01,2.8770682216e-01
54,7.0223387480e-01,2.7821999420e-03,-1.5352162063e-01,1.7159103527e-03,3.0445027947e-01,3.5903295724e-03,7.0175546408e-01,7.0046335459e-01,7.0078170300e-01,7.0045250654e-01,7.0771634579e-01,3.0749356747e-01,3.0178096890e-01,3.0414769053e-01,2.9951706529e-01,3.0931210518e-01
55,7.7182654142e-01,3.1823087650e-03,-1.1248396844e-01,1.7854990501e-03,3.2620391846e-01,3.7707584074e-03,7.7105337381e-01,7.6940852404e-01,7.7030718327e-01,7.7025830746e-01,7.7810531855e-01,3.2937031984e-01,3.2341837883e-01,3.2589447498e-01,3.2101023197e-01,3.3132618666e-01
56,8.4756689072e-01,3.6264326332e-03,-7.1829976888e-02,1.8528410563e-03,3.4827405214e-01,3.9405500520e-03,8.4650862217e-01,8.4448969364e-01,8.4586423635e-01,8.4628921747e-01,8.5468268394e-01,3.5154545307e-01,3.4539568424e-01,3.4795975685e-01,3.4282401204e-01,3.5364535451e-01
57,9.2849860191e-01,4.1188853966e-03,-3.2223002881e-02,1.9210928779e-03,3.7055727243e-01,4.0988249644e-03,9.2717266083e-01,9.2475944757e-01,9.2648279667e-01,9.2756950855e-01,9.3650859594e-01,3.7391391397e-01,3.6760982871e-01,3.7024036050e-01,3.6485680938e-01,3.7616544962e-01
58,1.0139458179e+00,4.6661571346e-03,6.0101666003e-03,1.9930394451e-03,3.9295026660e-01,4.2450506134e-03,1.0123740435e+00,1.0095503330e+00,1.0114748478e+00,1.0134022236e+00,1.0229276419e+00,3.9637118578e-01,3.8995718956e-01,3.9263296127e-01,3.8700711727e-01,3.9878287911e-01
59,1.1034664392e+00,5.2750900487e-03,4.2754184878e-02,2.0704100225e-03,4.1535131335e-01,4.3791389288e-03,1.1016728878e+00,1.0984302759e+00,1.1003892422e+00,1.1033203602e+00,1.1135194302e+00,4.1881483793e-01,4.1233494878e-01,4.1503581405e-01,4.0917477012e-01,4.2139619589e-01
60,1.1967964172e+00,5.9514909329e-03,7.8014930211e-02,2.1537388198e-03,4.3766199946e-01,4.5012784849e-03,1.1948022842e+00,1.1911470890e+00,1.1929584742e+00,1.1970340014e+00,1.2080402374e+00,4.4114610553e-01,4.3464311957e-01,4.3735080957e-01,4.3126255274e-01,4.4390740991e-01
61,1.2937949657e+00,6.7001352830e-03,1.1185965491e-01,2.2428175948e-03,4.5978850722e-01,4.6118831228e-03,1.2916144133e+00,1.2875725031e+00,1.2890425920e+00,1.2943781614e+00,1.3063671589e+00,4.6327120066e-01,4.5678552985e-01,4.5948439837e-01,4.5317795873e-01,4.6622344851e-01
62,1.3943970203e+00,7.5237813061e-03,1.4438014797e-01,2.3366895492e-03,4.8164304495e-01,4.7115686621e-03,1.3920331001e+00,1.3876552582e+00,1.3885843754e+00,1.3952633142e+00,1.4084490538e+00,4.8510292172e-01,4.7867199779e-01,4.8134928942e-01,4.7483390570e-01,4.8825711012e-01
63,1.4985796213e+00,8.4230409978e-03,1.7567298901e-01,2.4339112022e-03,5.0314508677e-01,4.8010141501e-03,1.4960190058e+00,1.4913855791e+00,1.4915759563e+00,1.4996459484e+00,1.5142716169e+00,5.0656139851e-01,5.0021904707e-01,5.0286549330e-01,4.9615079165e-01,5.0992870331e-01
64,1.6063340902e+00,9.3964707194e-03,2.0582847574e-01,2.5327902066e-03,5.2422209978e-01,4.8809839843e-03,1.6035447121e+00,1.5987681150e+00,1.5980290174e+00,1.6074984074e+00,1.6238301992e+00,5.2757531404e-01,5.2135121822e-01,5.2396112680e-01,5.1705658436e-01,5.3116625547e-01
65,1.7176487207e+00,1.0439838271e-02,2.3492636207e-01,2.6313325667e-03,5.4481025934e-01,4.9521694495e-03,1.7145730257e+00,1.7098019123e+00,1.7079623938e+00,1.7187952995e+00,1.7371109724e+00,5.4808193445e-01,5.4200154543e-01,5.4457318783e-01,5.3748810291e-01,5.5190652609e-01
66,1.8324979544e+00,1.1547606311e-02,2.6303491343e-01,2.7277374573e-03,5.6485476494e-01,5.0152749431e-03,1.8290522099e+00,1.8244700432e+00,1.8213840723e+00,1.8335009813e+00,1.8540824652e+00,5.6802791357e-01,5.6211233139e-01,5.6464737654e-01,5.5739098787e-01,5.7209521532e-01
67,1.9508330107e+00,1.2710875957e-02,2.9021091958e-01,2.8199372113e-03,5.8430979252e-01,5.0708338336e-03,1.9469045401e+00,1.9427298307e+00,1.9382866621e+00,1.9515615702e+00,1.9746824503e+00,5.8736890554e-01,5.8163487911e-01,5.8413857222e-01,5.7671993971e-01,5.9168666601e-01
68,2.0725789547e+00,1.3919572969e-02,3.1650133674e-01,2.9061719605e-03,6.0313849449e-01,5.1194659965e-03,2.0680267811e+00,2.0645084381e+00,2.0586411953e+00,2.0728991032e+00,2.0988192558e+00,6.0606974363e-01,6.0052943230e-01,6.0301053524e-01,5.9543842077e-01,6.1064434052e-01
69,2.1976313114e+00,1.5162553741e-02,3.4194454993e-01,2.9849696855e-03,6.2131248713e-01,5.1616574184e-03,2.1922860146e+00,2.1897003651e+00,2.1823909283e+00,2.1974124908e+00,2.2263667583e+00,6.2410354614e-01,6.1876541376e-01,6.2123507261e-01,6.1351829767e-01,6.2894010544e-01
70,2.3258562088e+00,1.6427689340e-02,3.6657208713e-01,3.0551118608e-03,6.3881140947e-01,5.1978593133e-03,2.3195211887e+00,2.3181664944e+00,2.3094537258e+00,2.3249742985e+00,2.3571653366e+00,6.4145159721e-01,6.3632029295e-01,6.3879209757e-01,6.3093936443e-01,6.4655369520e-01
