alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
4.2,0.0015,1680000,238.0952380952381,2,101,215.0834,3.2160757110e-03,59251,9.9997001886e-01
4.2,0.0015,1680000,238.0952380952381,3,102,213.1567,3.2549819443e-03,58701,9.9996966124e-01
4.2,0.0015,1680000,238.0952380952381,4,103,215.3688,3.0932656955e-03,59501,9.9997144938e-01
4.2,0.0015,1680000,238.0952380952381,5,104,209.5114,3.2991396729e-03,57751,9.9996918440e-01
4.4,0.0015,1760000,227.27272727272728,1,100,214.3935,3.3379551023e-03,55701,9.9997282028e-01
4.4,0.0015,1760000,227.27272727272728,2,101,209.6989,3.1461371109e-03,56251,9.9997460842e-01
4.4,0.0015,1760000,227.27272727272728,3,102,210.9036,3.1263674609e-03,56651,9.9997460842e-01
4.4,0.0015,1760000,227.27272727272728,4,103,210.1812,3.1232351903e-03,56501,9.9997466803e-01
4.4,0.0015,1760000,227.27272727272728,5,104,208.8374,3.1391645316e-03,56251,9.9997454882e-01
4.6000000000000005,0.0015,1840000,217.3913043478261,1,100,214.8753,3.0237257015e-03,54701,9.9997806549e-01
4.6000000000000005,0.0015,1840000,217.3913043478261,2,101,207.7909,3.0937267002e-03,54551,9.9997776747e-01
4.6000000000000005,0.0015,1840000,217.3913043478261,3,102,207.5765,3.0751826707e-03,54301,9.9997758865e-01
4.6000000000000005,0.0015,1840000,217.3913043478261,4,103,205.7759,3.1211241148e-03,53901,9.9997735023e-01
4.6000000000000005,0.0015,1840000,217.3913043478261,5,104,200.3509,3.5098772496e-03,52351,9.9997437000e-01
4.800000000000001,0.0015,1920000,208.33333333333334,1,100,194.9457,3.0239322223e-03,52601,9.9998015165e-01
4.800000000000001,0.0015,1920000,208.33333333333334,2,101,192.1759,3.2251470257e-03,51751,9.9997872114e-01
4.800000000000001,0.0015,1920000,208.33333333333334,3,102,199.6586,2.8447424993e-03,53801,9.9998140335e-01
4.800000000000001,0.0015,1920000,208.33333333333334,4,103,196.3055,3.0581932515e-03,53151,9.9997985363e-01
4.800000000000001,0.0015,1920000,208.33333333333334,5,104,193.9393,3.1982203946e-03,52251,9.9997895956e-01
5.0,0.0015,2000000,200.0,1,100,198.7256,2.9553943314e-03,51101,9.9998235703e-01
5.0,0.0015,2000000,200.0,2,101,196.5907,2.9109574389e-03,51801,9.9998259544e-01
5.0,0.0015,2000000,200.0,3,102,192.1435,3.0568621587e-03,50551,9.9998164177e-01
5.0,0.0015,2000000,200.0,4,103,196.3793,3.1318597030e-03,51651,9.9998098612e-01
5.0,0.0015,2000000,200.0,5,104,193.6091,3.0778858345e-03,50901,9.9998152256e-01
