lambda	t	m_w	m_x
2.	22	0.22312844704575602	0.22312844704575602
2.	23	0.22925835531790387	0.22925835531790387
2.	24	0.23449732227955417	0.23449732227955417
2.	25	0.23894670078282165	0.23894670078282165
2.	26	0.24270572778687238	0.24270572778687238
2.	27	0.24586772594072281	0.24586772594072281
2.	28	0.24851794886363907	0.24851794886363907
2.	29	0.25073261563691823	0.25073261563691823
2.	30	0.252578754724271	0.252578754724271
2.	31	0.2541145627542862	0.2541145627542862
2.	32	0.2553900622259082	0.2553900622259082
2.	33	0.256447907330827	0.256447907330827
2.	34	0.2573242374768576	0.2573242374768576
2.	35	0.25804951519082125	0.25804951519082125
2.	36	0.2586493113020714	0.2586493113020714
2.	37	0.25914501817070196	0.25914501817070196
2.	38	0.259554483434865	0.259554483434865
2.	39	0.2598925640880977	0.2598925640880977
2.	40	0.2601716050172095	0.2601716050172095
2.	41	0.26040184843039693	0.26040184843039693
2.	42	0.2605917815936429	0.2605917815936429
2.	43	0.2607484304641477	0.2607484304641477
2.	44	0.2608776064969857	0.2608776064969857
2.	45	0.2609841133268357	0.2609841133268357
2.	46	0.26107191933316715	0.26107191933316715
2.	47	0.26114430137345934	0.26114430137345934
2.	48	0.2612039642675374	0.2612039642675374
2.	49	0.26125313996583327	0.26125313996583327
2.	50	0.2612936697489922	0.2612936697489922
2.	51	0.2613270722899555	0.2613270722899555
2.	52	0.2613545999610296	0.2613545999610296
2.	53	0.26137728538295657	0.26137728538295657
2.	54	0.26139597988454283	0.26139597988454283
2.	55	0.2614113852634045	0.2614113852634045
2.	56	0.261424080004293	0.261424080004293
2.	57	0.2614345409151688	0.2614345409151688
2.	58	0.2614431609771159	0.2614431609771159
2.	59	0.2614502640674201	0.2614502640674201
2.	60	0.2614561171013589	0.2614561171013589
2.	61	0.2614609400437745	0.2614609400437745
2.	62	0.2614649141631564	0.2614649141631564
2.	63	0.26146818883606854	0.26146818883606854
2.	64	0.2614708871560584	0.2614708871560584
2.	65	0.2614731105567804	0.2614731105567804
2.	66	0.2614749426223753	0.2614749426223753
2.	67	0.2614764522278402	0.2614764522278402
2.	68	0.2614776961271035	0.2614776961271035
2.	69	0.2614787210858693	0.2614787210858693
2.	70	0.26147956563925945	0.26147956563925945
2.	71	0.2614802615402259	0.2614802615402259
2.	72	0.26148083495311675	0.26148083495311675
2.	73	0.26148130743722153	0.26148130743722153
2.	74	0.2614816967572421	0.2614816967572421
2.	75	0.2614820175511373	0.2614820175511373
2.	76	0.26148228188043726	0.26148228188043726
2.	77	0.26148249968370735	0.26148249968370735
2.	78	0.2614826791502047	0.2614826791502047
2.	79	0.2614828270277713	0.2614828270277713
2.	80	0.2614829488765378	0.2614829488765378
2.	81	0.2614830492779734	0.2614830492779734
2.	82	0.26148313200714246	0.26148313200714246
2.	83	0.2614832001746421	0.2614832001746421
2.	84	0.2614832563435572	0.2614832563435572
2.	85	0.26148330262583025	0.26148330262583025
2.	86	0.26148334076166924	0.26148334076166924
2.	87	0.26148337218497797	0.26148337218497797
2.	88	0.2614833980772705	0.2614833980772705
2.	89	0.26148341941209546	0.26148341941209546
2.	90	0.26148343699164145	0.26148343699164145
2.	91	0.26148345147689894	0.26148345147689894
2.	92	0.2614834634125132	0.2614834634125132
2.	93	0.26148347324726323	0.26148347324726323
2.	94	0.26148348135093563	0.26148348135093563
2.	95	0.26148348802822835	0.26148348802822835
2.	96	0.26148349353020767	0.26148349353020767
2.	97	0.2614834980637481	0.2614834980637481
2.	98	0.2614835017993108	0.2614835017993108
2.	99	0.2614835048773529	0.2614835048773529
2.	100	0.261483507413609	0.261483507413609
3.	0	0.01	0.01
3.	1	0.01419684317417752	0.01419684317417752
3.	2	0.02003745409669786	0.02003745409669786
3.	3	0.02805458623621008	0.02805458623621008
3.	4	0.03885638454959002	0.03885638454959002
3.	5	0.05305660264572417	0.05305660264572417
3.	6	0.07114608820795083	0.07114608820795083
3.	7	0.09331528767305533	0.09331528767305533
3.	8	0.11928059957797957	0.11928059957797957
3.	9	0.148205471596415	0.148205471596415
3.	10	0.17879305111319238	0.17879305111319238
3.	11	0.20954156887430128	0.20954156887430128
3.	12	0.23905432673783808	0.23905432673783808
3.	13	0.2662721569127068	0.2662721569127068
3.	14	0.29056211443885277	0.29056211443885277
3.	15	0.31168163225691004	0.31168163225691004
3.	16	0.3296787361872728	0.3296787361872728
3.	17	0.34478257924667527	0.34478257924667527
3.	18	0.3573135171839121	0.3573135171839121
3.	19	0.3676207319253662	0.3676207319253662
3.	20	0.37604429339962614	0.37604429339962614
3.	21	0.38289508335266303	0.38289508335266303
3.	22	0.38844632126641293	0.38844632126641293
3.	23	0.3929319636450928	0.3929319636450928
3.	24	0.3965488047718846	0.3965488047718846
3.	25	0.3994603101447869	0.3994603101447869
3.	26	0.4018010352337192	0.4018010352337192
3.	27	0.40368100401713775	0.40368100401713775
