lambda	t	m_w	m_x	m_y
5.	82	0.5171573644508419	0.5171573644508419	0.2674517396057409
5.	83	0.5171573503855822	0.5171573503855822	0.2674517250578358
5.	84	0.5171573388920526	0.5171573388920526	0.26745171316990934
5.	85	0.5171573295000311	0.5171573295000311	0.26745170345560376
5.	86	0.5171573218252722	0.5171573218252722	0.26745169551748815
5.	87	0.5171573155537872	0.5171573155537872	0.2674516890307994
5.	88	0.5171573104289975	0.5171573104289975	0.2674516837301545
5.	89	0.5171573062412381	0.5171573062412381	0.26745167939869374
5.	90	0.51715730281918	0.51715730281918	0.2674516758592091
5.	91	0.5171573000228203	0.5171573000228203	0.26745167296689343
5.	92	0.5171572977377547	0.5171572977377547	0.2674516706034166
5.	93	0.5171572958704966	0.5171572958704966	0.2674516686720844
5.	94	0.5171572943446532	0.5171572943446532	0.26745166709388224
5.	95	0.5171572930977989	0.5171572930977989	0.2674516658042427
5.	96	0.5171572920789229	0.5171572920789229	0.2674516647504044
5.	97	0.517157291246341	0.517157291246341	0.2674516638892528
5.	98	0.5171572905659907	0.5171572905659907	0.2674516631855565
5.	99	0.5171572900100374	0.5171572900100374	0.26745166261052594
5.	100	0.5171572895557361	0.5171572895557361	0.26745166214063554
5.	101	0.5171572891845004	0.5171572891845004	0.267451661756661
5.	102	0.5171572888811424	0.5171572888811424	0.2674516614428934
5.	103	0.5171572886332514	0.5171572886332514	0.2674516611864961
5.	104	0.5171572884306853	0.5171572884306853	0.26745166097697903
5.	105	0.517157288265157	0.517157288265157	0.26745166080577065
5.	106	0.5171572881298943	0.5171572881298943	0.26745166066586645
5.	107	0.5171572880193634	0.5171572880193634	0.26745166055154285
5.	108	0.5171572879290423	0.5171572879290423	0.2674516604581223
5.	109	0.5171572878552356	0.5171572878552356	0.26745166038178303
5.	110	0.5171572877949241	0.5171572877949241	0.26745166031940193
5.	111	0.5171572877456401	0.5171572877456401	0.26745166026842676
5.	112	0.5171572877053673	0.5171572877053673	0.267451660226772
5.	113	0.5171572876724582	0.5171572876724582	0.26745166019273364
5.	114	0.5171572876455662	0.5171572876455662	0.26745166016491895
5.	115	0.5171572876235913	0.5171572876235913	0.2674516601421899
5.	116	0.5171572876056343	0.5171572876056343	0.26745166012361676
5.	117	0.5171572875909606	0.5171572875909606	0.2674516601084395
5.	118	0.5171572875789698	0.5171572875789698	0.2674516600960373
5.	119	0.5171572875691716	0.5171572875691716	0.2674516600859028
5.	120	0.5171572875611649	0.5171572875611649	0.26745166007762133
5.	121	0.517157287554622	0.517157287554622	0.26745166007085397
5.	122	0.5171572875492756	0.5171572875492756	0.2674516600653241
5.	123	0.5171572875449064	0.5171572875449064	0.267451660060805
5.	124	0.5171572875413364	0.5171572875413364	0.26745166005711246
5.	125	0.517157287538419	0.517157287538419	0.26745166005409504
5.	126	0.5171572875360352	0.5171572875360352	0.26745166005162935
5.	127	0.5171572875340871	0.5171572875340871	0.2674516600496144
5.	128	0.5171572875324953	0.5171572875324953	0.26745166004796805
5.	129	0.5171572875311946	0.5171572875311946	0.2674516600466227
5.	130	0.5171572875301318	0.5171572875301318	0.2674516600455234
5.	131	0.5171572875292632	0.5171572875292632	0.26745166004462495
5.	132	0.5171572875285533	0.5171572875285533	0.2674516600438907
5.	133	0.5171572875279733	0.5171572875279733	0.26745166004329085
5.	134	0.5171572875274992	0.5171572875274992	0.2674516600428005
5.	135	0.517157287527112	0.517157287527112	0.26745166004239995
5.	136	0.5171572875267954	0.5171572875267954	0.2674516600420725
5.	137	0.5171572875265369	0.5171572875265369	0.26745166004180515
5.	138	0.5171572875263255	0.5171572875263255	0.2674516600415865
5.	139	0.5171572875261528	0.5171572875261528	0.26745166004140786
5.	140	0.5171572875260118	0.5171572875260118	0.267451660041262
5.	141	0.5171572875258963	0.5171572875258963	0.26745166004114257
5.	142	0.5171572875258021	0.5171572875258021	0.2674516600410452
5.	143	0.5171572875257251	0.5171572875257251	0.2674516600409655
5.	144	0.5171572875256623	0.5171572875256623	0.2674516600409005
5.	145	0.5171572875256107	0.5171572875256107	0.2674516600408472
5.	146	0.5171572875255688	0.5171572875255688	0.26745166004080384
5.	147	0.5171572875255345	0.5171572875255345	0.2674516600407683
5.	148	0.5171572875255064	0.5171572875255064	0.2674516600407393
5.	149	0.5171572875254834	0.5171572875254834	0.2674516600407155
5.	150	0.5171572875254646	0.5171572875254646	0.2674516600406961
5.	151	0.5171572875254492	0.5171572875254492	0.26745166004068016
5.	152	0.5171572875254368	0.5171572875254368	0.2674516600406673
5.	153	0.5171572875254266	0.5171572875254266	0.26745166004065674
5.	154	0.5171572875254181	0.5171572875254181	0.26745166004064796
5.	155	0.5171572875254113	0.5171572875254113	0.26745166004064097
5.	156	0.5171572875254058	0.5171572875254058	0.26745166004063525
5.	157	0.5171572875254014	0.5171572875254014	0.26745166004063065
5.	158	0.5171572875253976	0.5171572875253976	0.26745166004062676
5.	159	0.5171572875253945	0.5171572875253945	0.26745166004062354
5.	160	0.517157287525392	0.517157287525392	0.267451660040621
5.	161	0.51715728752539	0.51715728752539	0.26745166004061893
5.	162	0.5171572875253884	0.5171572875253884	0.2674516600406172
5.	163	0.5171572875253869	0.5171572875253869	0.2674516600406157
5.	164	0.5171572875253859	0.5171572875253859	0.26745166004061466
5.	165	0.517157287525385	0.517157287525385	0.26745166004061377
5.	166	0.5171572875253843	0.5171572875253843	0.26745166004061294
5.	167	0.5171572875253837	0.5171572875253837	0.2674516600406124
5.	168	0.5171572875253833	0.5171572875253833	0.26745166004061194
5.	169	0.5171572875253828	0.5171572875253828	0.2674516600406115
5.	170	0.5171572875253825	0.5171572875253825	0.2674516600406111
5.	171	0.5171572875253821	0.5171572875253821	0.2674516600406108
5.	172	0.517157287525382	0.517157287525382	0.26745166004061066
5.	173	0.5171572875253819	0.5171572875253819	0.26745166004061055
5.	174	0.5171572875253818	0.5171572875253818	0.26745166004061044
5.	175	0.5171572875253817	0.5171572875253817	0.26745166004061033
5.	176	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	177	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	178	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	179	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	180	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	181	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	182	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	183	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	184	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	185	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	186	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	187	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	188	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	189	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	190	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	191	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	192	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	193	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	194	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	195	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	196	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	197	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	198	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	199	0.5171572875253815	0.5171572875253815	0.2674516600406101
5.	200	0.5171572875253815	0.5171572875253815	0.2674516600406101
10.	0	1.	1.	1.
10.	1	0.9937888198757763	0.9937888198757763	0.9876162185100881
10.	2	0.9861181193223021	0.9861181193223021	0.9724289452557541
10.	3	0.9767413742557332	0.9767413742557332	0.9540237121829782
10.	4	0.9654203205970711	0.9654203205970711	0.9320363954217514
10.	5	0.9519525026370332	0.9519525026370332	0.9062135672769108
10.	6	0.9362064251562932	0.9362064251562932	0.8764824705039259
10.	7	0.9181600976148605	0.9181600976148605	0.8430179648521302
10.	8	0.8979351239887895	0.8979351239887895	0.8062874868927628
10.	9	0.8758160014144949	0.8758160014144949	0.7670536683336745
10.	10	0.852245068621741	0.852245068621741	0.726321656990076
