step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
73,3.5536548495e-01,2.1169109067e-01,-5.0413080403e-01,1.9801542485e-01,2.6038962603e-01,2.4143953621e-01,2.5093749166e-01,2.4550358951e-01,7.7855718136e-01
74,3.6011659801e-01,2.2155816544e-01,-5.0170114287e-01,2.0352853183e-01,2.6028159261e-01,2.4090760946e-01,2.5095239282e-01,2.4539713562e-01,8.0304425955e-01
75,3.7616269290e-01,2.5335692248e-01,-4.9328833081e-01,2.1983704210e-01,2.6025474072e-01,2.4086107314e-01,2.5122514367e-01,2.4575960636e-01,8.8271290064e-01
76,4.1402315497e-01,3.2904958577e-01,-4.7640494985e-01,2.5354033847e-01,2.6041984558e-01,2.4133479595e-01,2.5087884068e-01,2.4548393488e-01,1.0719983578e+00
77,4.8648808599e-01,4.7411142114e-01,-4.5119869987e-01,3.0416518623e-01,2.6020514965e-01,2.4137650430e-01,2.5085151196e-01,2.4538044631e-01,1.4346268177e+00
78,5.2746191621e-01,5.5656066559e-01,-4.3990877071e-01,3.2763268247e-01,2.6012545824e-01,2.4091075361e-01,2.5059324503e-01,2.4517099559e-01,1.6405091286e+00
79,8.4686713517e-01,1.1953140947e+00,-3.8083955081e-01,4.4566299442e-01,2.6000437140e-01,2.4058192968e-01,2.5094139576e-01,2.4534760416e-01,3.2374603748e+00
80,1.1074457973e+00,1.7161703118e+00,-3.5126506607e-01,5.0427127575e-01,2.6017141342e-01,2.4091434479e-01,2.5086760521e-01,2.4551312625e-01,4.5397624969e+00
81,1.7174059150e+01,3.3849517345e+01,-9.7006360958e-02,1.0129476604e+00,2.6012346148e-01,2.4121291935e-01,2.5064224005e-01,2.4522447586e-01,8.4873092651e+01
82,2.6017901659e+01,5.1537527834e+01,-6.0808006133e-02,1.0859112098e+00,2.5996136665e-01,2.4093599617e-01,2.5051271915e-01,2.4514167011e-01,1.2909295654e+02
83,4.0605010840e+01,8.0712135648e+01,-2.2182924396e-02,1.1638528729e+00,2.5989195704e-01,2.4048140645e-01,2.5045984983e-01,2.4493937194e-01,2.0202928162e+02
84,5.1959918064e+01,1.0342151517e+02,-3.6668139791e-04,1.2067196117e+00,2.5989422202e-01,2.4052570760e-01,2.5086426735e-01,2.4535812438e-01,2.5880294800e+02
