step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
45,4.3962648438e+04,3.5053944247e+02,4.6430700930e+00,3.4532527300e-03,1.0990661879e-03,8.7635043668e-06,2.4027744929e-01,2.2069844291e-03,4.4458238281e+04,4.3725335938e+04,4.3704371094e+04,1.1114559602e-03,1.0931333527e-03,1.0926092509e-03,2.4324159324e-01,2.3794887960e-01,2.3964187503e-01
46,4.0535578125e+04,3.2949238535e+02,4.6078220782e+00,3.5201304257e-03,1.0133894393e-03,8.2373392820e-06,2.4054883917e-01,2.2074653369e-03,4.1001507812e+04,4.0297136719e+04,4.0308089844e+04,1.0250377236e-03,1.0074283928e-03,1.0077022016e-03,2.4351231754e-01,2.3821698129e-01,2.3991721869e-01
47,3.7398970052e+04,3.1036542049e+02,4.5728447443e+00,3.5937808547e-03,9.3497427103e-04,7.7591359276e-06,2.4080739419e-01,2.2079408798e-03,3.7837328125e+04,3.7160511719e+04,3.7199070312e+04,9.4593322137e-04,9.2901277822e-04,9.2997681350e-04,2.4377024174e-01,2.3847235739e-01,2.4017958343e-01
48,3.4525437500e+04,2.9274883602e+02,4.5381236378e+00,3.6719437482e-03,8.6313594754e-04,7.3187212434e-06,2.4105390410e-01,2.2084106456e-03,3.4937890625e+04,3.4288152344e+04,3.4350269531e+04,8.7344727945e-04,8.5720384959e-04,8.5875671357e-04,2.4401615560e-01,2.3871579766e-01,2.4042975903e-01
49,3.1890809245e+04,2.7653340555e+02,4.5036492738e+00,3.7552325224e-03,7.9727023452e-04,6.9133389244e-06,2.4128905932e-01,2.2088925040e-03,3.2279013672e+04,3.1655730469e+04,3.1737683594e+04,8.0697535304e-04,7.9139327863e-04,7.9344207188e-04,2.4425075948e-01,2.3894794285e-01,2.4066847563e-01
50,2.9473042969e+04,2.6170271999e+02,4.4694079197e+00,3.8455976195e-03,7.3682608005e-04,6.5425783961e-06,2.4151350558e-01,2.2093570627e-03,2.9838736328e+04,2.9240863281e+04,2.9339529297e+04,7.4596842751e-04,7.3102157330e-04,7.3348823935e-04,2.4447466433e-01,2.3916947842e-01,2.4089637399e-01
51,2.7252680990e+04,2.4788481109e+02,4.4353913314e+00,3.9396560317e-03,6.8131702331e-04,6.1971271349e-06,2.4172780414e-01,2.2098411976e-03,2.7597162109e+04,2.7024138672e+04,2.7136742188e+04,6.8992906017e-04,6.7560345633e-04,6.7841855343e-04,2.4468848109e-01,2.3938092589e-01,2.4111400545e-01
52,2.5212060547e+04,2.3508726461e+02,4.4015895265e+00,4.0390924745e-03,6.3030153979e-04,5.8771933802e-06,2.4193251630e-01,2.2102861281e-03,2.5536742188e+04,2.4987789062e+04,2.5111650391e+04,6.3841859810e-04,6.2469474506e-04,6.2779127620e-04,2.4489268661e-01,2.3958289623e-01,2.4132196605e-01
53,2.3335220703e+04,2.2312946518e+02,4.3679921238e+00,4.1425044280e-03,5.8338051895e-04,5.5782229914e-06,2.4212820828e-01,2.2107714218e-03,2.3641265625e+04,2.3115621094e+04,2.3248775391e+04,5.9103162494e-04,5.7789054699e-04,5.8121938491e-04,2.4508796632e-01,2.3977589607e-01,2.4152076244e-01
54,2.1608032552e+04,2.1196343806e+02,4.3345943946e+00,4.2503569047e-03,5.4020081492e-04,5.2990731368e-06,2.4231528739e-01,2.2112316544e-03,2.1896619141e+04,2.1393517578e+04,2.1533960938e+04,5.4741546046e-04,5.3483794909e-04,5.3834903520e-04,2.4527463317e-01,2.3996038735e-01,2.4171084166e-01
