step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
96,2.0688897769e+00,9.5470246551e-04,3.1573730736e-01,2.0042595158e-04,-3.7141431433e-03,3.5713802730e-04,2.0676124096e+00,2.0691497326e+00,2.0699071884e+00,-3.2443949021e-03,-3.7883194163e-03,-4.1097151116e-03
97,2.0685022672e+00,9.5059873105e-04,3.1565595538e-01,1.9960128689e-04,-3.7188888527e-03,3.5725249470e-04,2.0672328472e+00,2.0687537193e+00,2.0695202351e+00,-3.2488505822e-03,-3.7934647407e-03,-4.1143512353e-03
98,2.0681019624e+00,9.4604028194e-04,3.1557190127e-01,1.9868199595e-04,-3.7232257891e-03,3.5734565044e-04,2.0668413639e+00,2.0683441162e+00,2.0691204071e+00,-3.2529244199e-03,-3.7982005160e-03,-4.1185524315e-03
99,2.0676887830e+00,9.4145909740e-04,3.1548512673e-01,1.9775877505e-04,-3.7271647404e-03,3.5745759248e-04,2.0664372444e+00,2.0679211617e+00,2.0687079430e+00,-3.2565803267e-03,-3.8025300018e-03,-4.1223838925e-03
100,2.0672642390e+00,9.3636209615e-04,3.1539594741e-01,1.9672790470e-04,-3.7307371385e-03,3.5758766653e-04,2.0660223961e+00,2.0674870014e+00,2.0682833195e+00,-3.2598350663e-03,-3.8065265398e-03,-4.1258498095e-03
101,2.0668280919e+00,9.3152854019e-04,3.1530431165e-01,1.9575303665e-04,-3.7339415867e-03,3.5769452336e-04,2.0655958652e+00,2.0670406818e+00,2.0678477287e+00,-3.2627542969e-03,-3.8101458922e-03,-4.1289245710e-03
102,2.0663807392e+00,9.2565650258e-04,3.1521030154e-01,1.9456052298e-04,-3.7368182869e-03,3.5777737222e-04,2.0651595592e+00,2.0665829182e+00,2.0673997402e+00,-3.2653731760e-03,-3.8134446368e-03,-4.1316370480e-03
103,2.0659231345e+00,9.1970951581e-04,3.1511411592e-01,1.9335268305e-04,-3.7393706540e-03,3.5783301038e-04,2.0647132397e+00,2.0661146641e+00,2.0669414997e+00,-3.2677024137e-03,-3.8164171856e-03,-4.1339923628e-03
104,2.0654555957e+00,9.1363478901e-04,3.1501582021e-01,1.9211838410e-04,-3.7415955060e-03,3.5788834935e-04,2.0642571449e+00,2.0656366348e+00,2.0664730072e+00,-3.2696961425e-03,-3.8190858904e-03,-4.1360044852e-03
105,2.0649780432e+00,9.0722237335e-04,3.1491539628e-01,1.9081343006e-04,-3.7434897386e-03,3.5791184451e-04,2.0637915134e+00,2.0651485920e+00,2.0659940243e+00,-3.2713911496e-03,-3.8214456290e-03,-4.1376324371e-03
106,2.0644907157e+00,9.0035438662e-04,3.1481289282e-01,1.8941291714e-04,-3.7450281282e-03,3.5790945378e-04,2.0633168221e+00,2.0646505356e+00,2.0655047894e+00,-3.2727774233e-03,-3.8234093226e-03,-4.1388976388e-03
107,2.0639944077e+00,8.9281453936e-04,3.1470847561e-01,1.8787115334e-04,-3.7462419520e-03,3.5788137094e-04,2.0628342628e+00,2.0641429424e+00,2.0650060177e+00,-3.2738819718e-03,-3.8250191137e-03,-4.1398247704e-03
108,2.0634895166e+00,8.8513839298e-04,3.1460222686e-01,1.8630074201e-04,-3.7471961696e-03,3.5783405047e-04,2.0623433590e+00,2.0636267662e+00,2.0644984245e+00,-3.2747471705e-03,-3.8263800088e-03,-4.1404613294e-03
