label,alpha,mean_cosine_similarity,std_cosine_similarity,source_file
4000_100_alpha0-5,4.6000000000000005,0.9999770283699035,1.3495418260655314e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,4.800000000000001,0.9999798178672791,9.556095039287128e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,5.0,0.9999818205833435,5.840038639982171e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
8000_100_slpha0-5,0.0,0.00012000000000000002,4e-05,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,0.2,0.0025599999999999998,4.8989794855663474e-05,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,0.4,0.0052,6.324555320336748e-05,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,0.6,0.008180000000000002,9.797958971132718e-05,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,0.8,0.0117,0.00018973665961010308,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,1.0,0.01648,0.0001720465053408526,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,1.2,0.023719999999999998,0.00013266499161421655,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,1.4,0.03632,0.0002785677655436829,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,1.6,0.05145999999999999,0.0007227724399837064,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,1.8,0.07276,0.0013350655414622937,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,2.0,0.09878,0.004598869426282943,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,2.2,0.12506,0.005296262833357121,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,2.4,0.193,0.020192770983696123,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,2.6,0.26394,0.020163690138464238,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,2.8,0.51974,0.22796175644173303,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,3.0,0.9994799999999999,7.483314773551807e-05,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,3.2,0.9999,0.0,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,3.4,0.9999,0.0,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,3.6,1.0,0.0,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
8000_100_slpha0-5,3.8,1.0,0.0,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/8000_100_slpha0-5/alpha_summary.csv
