step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
57,3.6255297065e+04,0.0000000000e+00,4.5593714680e+00,0.0000000000e+00,3.6255300045e+04,0.0000000000e+00,4.5593715037e+00,0.0000000000e+00,9.1485357285e-01,0.0000000000e+00,3.6255297065e+04,3.6255300045e+04,9.1485357285e-01
58,4.0643641353e+04,0.0000000000e+00,4.6089926104e+00,0.0000000000e+00,4.0643641353e+04,0.0000000000e+00,4.6089926104e+00,0.0000000000e+00,9.0336215496e-01,0.0000000000e+00,4.0643641353e+04,4.0643641353e+04,9.0336215496e-01
59,4.5190522075e+04,0.0000000000e+00,4.6550473587e+00,0.0000000000e+00,4.5190531015e+04,0.0000000000e+00,4.6550474446e+00,0.0000000000e+00,8.9116358757e-01,0.0000000000e+00,4.5190522075e+04,4.5190531015e+04,8.9116358757e-01
60,4.9852618575e+04,0.0000000000e+00,4.6976879751e+00,0.0000000000e+00,4.9852621555e+04,0.0000000000e+00,4.6976880011e+00,0.0000000000e+00,8.7834250927e-01,0.0000000000e+00,4.9852618575e+04,4.9852621555e+04,8.7834250927e-01
61,5.4585939646e+04,0.0000000000e+00,4.7370807907e+00,0.0000000000e+00,5.4585945606e+04,0.0000000000e+00,4.7370808381e+00,0.0000000000e+00,8.6499452591e-01,0.0000000000e+00,5.4585939646e+04,5.4585945606e+04,8.6499452591e-01
62,5.9347540140e+04,0.0000000000e+00,4.7734027229e+00,0.0000000000e+00,5.9347546101e+04,0.0000000000e+00,4.7734027665e+00,0.0000000000e+00,8.5122370720e-01,0.0000000000e+00,5.9347540140e+04,5.9347546101e+04,8.5122370720e-01
63,6.4097028971e+04,0.0000000000e+00,4.8068378995e+00,0.0000000000e+00,6.4097034931e+04,0.0000000000e+00,4.8068379399e+00,0.0000000000e+00,8.3713728189e-01,0.0000000000e+00,6.4097028971e+04,6.4097034931e+04,8.3713728189e-01
64,6.8797403574e+04,0.0000000000e+00,4.8375720482e+00,0.0000000000e+00,6.8797421455e+04,0.0000000000e+00,4.8375721611e+00,0.0000000000e+00,8.2284301519e-01,0.0000000000e+00,6.8797403574e+04,6.8797421455e+04,8.2284301519e-01
65,7.3415893316e+04,0.0000000000e+00,4.8657900876e+00,0.0000000000e+00,7.3415893316e+04,0.0000000000e+00,4.8657900876e+00,0.0000000000e+00,8.0844533443e-01,0.0000000000e+00,7.3415893316e+04,7.3415893316e+04,8.0844533443e-01
66,7.7924054861e+04,0.0000000000e+00,4.8916715434e+00,0.0000000000e+00,7.7924060822e+04,0.0000000000e+00,4.8916715767e+00,0.0000000000e+00,7.9404217005e-01,0.0000000000e+00,7.7924054861e+04,7.7924060822e+04,7.9404217005e-01
