step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
250,2.2229237874e+02,7.6311906293e+01,2.3224576885e+00,1.4387749387e-01,1.8524364956e-03,6.3593251024e-04,9.9562525749e-01,1.3710698803e-03,1.9251473999e+02,3.2701565552e+02,1.4734674072e+02,1.6042895149e-03,2.7251304127e-03,1.2278895592e-03,9.9619215727e-01,9.9373596907e-01,9.9694764614e-01
255,1.9873922729e+02,6.3633545715e+01,2.2768816558e+00,1.3481244832e-01,1.6561602242e-03,5.3027957581e-04,9.9607743820e-01,1.1765027709e-03,1.7556088257e+02,2.8563388062e+02,1.3502291870e+02,1.4630072983e-03,2.3802823853e-03,1.1251909891e-03,9.9654012918e-01,9.9446201324e-01,9.9723017216e-01
260,1.7951057180e+02,5.4067383692e+01,2.2350213601e+00,1.2751973340e-01,1.4959214410e-03,4.5056150333e-04,9.9646586180e-01,1.0161695797e-03,1.6146899414e+02,2.5288040161e+02,1.2418231964e+02,1.3455749722e-03,2.1073366515e-03,1.0348526994e-03,9.9682950974e-01,9.9507999420e-01,9.9748808146e-01
265,1.6351616414e+02,4.6293079458e+01,2.1966825179e+00,1.2004792481e-01,1.3626347063e-03,3.8577565242e-04,9.9680678050e-01,8.9875109624e-04,1.4865391541e+02,2.2616421509e+02,1.1573036194e+02,1.2387826573e-03,1.8847017782e-03,9.6441968344e-04,9.9713397026e-01,9.9557954073e-01,9.9770683050e-01
270,1.4917479197e+02,3.8934269731e+01,2.1592824672e+00,1.1109462345e-01,1.2431232414e-03,3.2445222972e-04,9.9710645278e-01,7.7977499664e-04,1.3768334961e+02,2.0155500793e+02,1.0828601837e+02,1.1473612394e-03,1.6796250129e-03,9.0238347184e-04,9.9737274647e-01,9.9604654312e-01,9.9790006876e-01
275,1.3652233378e+02,3.2876313457e+01,2.1228966289e+00,1.0275215838e-01,1.1376861560e-03,2.7396925832e-04,9.9737507105e-01,6.7283752936e-04,1.2745317078e+02,1.8054856873e+02,1.0156526184e+02,1.0621098336e-03,1.5045714099e-03,8.4637722466e-04,9.9758291245e-01,9.9646699429e-01,9.9807530642e-01
280,1.2602267456e+02,2.8201092362e+01,2.0898424092e+00,9.5343315567e-02,1.0501889628e-03,2.3500911576e-04,9.9761466185e-01,5.8349785756e-04,1.1810993958e+02,1.6383157349e+02,9.6126510620e+01,9.8424952012e-04,1.3652631314e-03,8.0105423694e-04,9.9779057503e-01,9.9682849646e-01,9.9822491407e-01
285,1.1681702932e+02,2.4793723101e+01,2.0579284142e+00,9.0699031360e-02,9.7347526268e-04,2.0661436026e-04,9.9781819185e-01,5.1169263013e-04,1.1038867950e+02,1.4988250732e+02,9.0179901123e+01,9.1990566580e-04,1.2490209192e-03,7.5149920303e-04,9.9796044827e-01,9.9713259935e-01,9.9836152792e-01
290,1.0897087606e+02,2.1044833379e+01,2.0293783206e+00,8.2551064512e-02,9.0809065538e-04,1.7537363347e-04,9.9800584714e-01,4.4349037273e-04,1.0362616730e+02,1.3699876404e+02,8.6287696838e+01,8.6355139501e-04,1.1416564230e-03,7.1906414814e-04,9.9812704325e-01,9.9741232395e-01,9.9847817421e-01
295,1.0216647847e+02,1.8053321281e+01,2.0026421911e+00,7.5756998663e-02,8.5138731326e-04,1.5044434446e-04,9.9817156792e-01,3.8916422605e-04,9.8024024963e+01,1.2605544281e+02,8.2419967651e+01,8.1686687190e-04,1.0504620150e-03,6.8683305290e-04,9.9827170372e-01,9.9765282869e-01,9.9859017134e-01
300,9.6459749858e+01,1.5491728608e+01,1.9788197910e+00,6.9042550889e-02,8.0383122743e-04,1.2909771685e-04,9.9830981096e-01,3.4078096262e-04,9.3292831421e+01,1.1681735229e+02,7.9269065857e+01,7.7744020382e-04,9.7347790143e-04,6.6057557706e-04,9.9839287996e-01,9.9785715342e-01,9.9867939949e-01
305,9.1353421529e+01,1.3343157804e+01,1.9561464722e+00,6.2870130353e-02,7.6127851692e-04,1.1119295651e-04,9.9843883514e-01,2.9593913616e-04,8.8809783936e+01,1.0881805420e+02,7.6432426453e+01,7.4008153751e-04,9.0681709116e-04,6.3693692209e-04,9.9850344658e-01,9.9804842472e-01,9.9876463413e-01
310,8.6968355815e+01,1.1782595932e+01,1.9354222166e+00,5.8315980115e-02,7.2473629067e-04,9.8188266792e-05,9.9854985873e-01,2.6376520731e-04,8.4736289978e+01,1.0238500977e+02,7.3783767700e+01,7.0613576099e-04,8.5320835933e-04,6.1486475170e-04,9.9860465527e-01,9.9820291996e-01,9.9884200096e-01
315,8.3076118469e+01,1.0178016226e+01,1.9162511019e+00,5.2784514068e-02,6.9230100295e-04,8.4816786038e-05,9.9865108728e-01,2.2818966000e-04,8.1255813599e+01,9.6351661682e+01,7.1620880127e+01,6.7713181488e-04,8.0293050269e-04,5.9684069129e-04,9.9869382381e-01,9.9835270643e-01,9.9890673161e-01
320,7.9664540609e+01,8.6600632454e+00,1.8987173112e+00,4.6956349046e-02,6.6387117840e-04,7.2167194132e-05,9.9873942137e-01,1.9776340293e-04,7.8385475159e+01,9.0852439880e+01,6.9755706787e+01,6.5321230795e-04,7.5710366946e-04,5.8129755780e-04,9.9877196550e-01,9.9848258495e-01,9.9896371365e-01
325,7.6761736552e+01,7.6256566735e+00,1.8830176118e+00,4.2903577610e-02,6.3968114167e-04,6.3547128859e-05,9.9881859620e-01,1.7216739021e-04,7.5621482849e+01,8.6618995667e+01,6.8044731140e+01,6.3017907087e-04,7.2182493750e-04,5.6703941664e-04,9.9883997440e-01,9.9859786034e-01,9.9901795387e-01
330,7.4023460388e+01,6.7405239316e+00,1.8675799136e+00,3.9363290412e-02,6.1686216698e-04,5.6171048126e-05,9.9888736010e-01,1.5205012868e-04,7.3104095459e+01,8.2700080872e+01,6.6266204834e+01,6.0920079704e-04,6.8916735472e-04,5.5221834918e-04,9.9890929461e-01,9.9869114161e-01,9.9906164408e-01
335,7.1875213623e+01,5.8942008117e+00,1.8551247603e+00,3.5505994050e-02,5.9896010983e-04,4.9118319271e-05,9.9895052115e-01,1.3530277412e-04,7.1219825745e+01,7.9399452209e+01,6.5006362915e+01,5.9349852381e-04,6.6166208126e-04,5.4171972442e-04,9.9896377325e-01,9.9877858162e-01,9.9910920858e-01
340,6.9798725128e+01,5.1610735058e+00,1.8426650010e+00,3.2015969923e-02,5.8165603938e-04,4.3008942161e-05,9.9900450309e-01,1.1682453947e-04,6.9231559753e+01,7.6384193420e+01,6.3780422211e+01,5.7692965493e-04,6.3653493999e-04,5.3150352323e-04,9.9901616573e-01,9.9885594845e-01,9.9914139509e-01
345,6.8072565715e+01,4.4809625625e+00,1.8320386429e+00,2.8417667130e-02,5.6727135476e-04,3.7341353962e-05,9.9905614058e-01,1.0168222033e-04,6.7301597595e+01,7.3905319214e+01,6.3010780334e+01,5.6084664539e-04,6.1587762320e-04,5.2508979570e-04,9.9906486273e-01,9.9892747402e-01,9.9917608500e-01
350,6.6612177531e+01,3.7916852052e+00,1.8228528476e+00,2.4647026453e-02,5.5510147164e-04,3.1597368518e-05,9.9910283089e-01,9.2148703715e-05,6.6183700562e+01,7.1455413818e+01,6.2197418213e+01,5.5153085850e-04,5.9546175180e-04,5.1831180463e-04,9.9911069870e-01,9.9898624420e-01,9.9921154976e-01
355,6.5179220835e+01,3.5004474513e+00,1.8134866789e+00,2.3216873500e-02,5.4316018941e-04,2.9170385639e-05,9.9914292494e-01,7.9812709026e-05,6.4634262085e+01,6.9712799072e+01,6.1190601349e+01,5.3861888591e-04,5.8093998814e-04,5.0992169417e-04,9.9914771318e-01,9.9904286861e-01,9.9923819304e-01
360,6.3849647522e+01,3.1229973409e+00,1.8046431164e+00,2.1115714442e-02,5.3208041936e-04,2.6024995292e-05,9.9917952220e-01,6.9969427374e-05,6.3214843750e+01,6.7952209473e+01,6.0381889343e+01,5.2679039072e-04,5.6626845617e-04,5.0318241119e-04,9.9918359518e-01,9.9909186363e-01,9.9926310778e-01
365,6.2795141856e+01,2.7060628288e+00,1.7975260616e+00,1.8601077103e-02,5.2329284760e-04,2.2550539125e-05,9.9920723836e-01,6.0202350163e-05,6.2178783417e+01,6.6374290466e+01,5.9832351685e+01,5.1815650659e-04,5.5311911274e-04,4.9860292347e-04,9.9920779467e-01,9.9913322926e-01,9.9928069115e-01
370,6.1882676442e+01,2.4118149920e+00,1.7912409369e+00,1.6861046457e-02,5.1568894802e-04,2.0098450569e-05,9.9923640490e-01,5.2390030253e-05,6.1489147186e+01,6.5013572693e+01,5.9145309448e+01,5.1240954781e-04,5.4177973652e-04,4.9287755974e-04,9.9923634529e-01,9.9917227030e-01,9.9930059910e-01
