step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
102,4.4841561913e+06,2.4841368198e+04,6.6516740672e+00,2.4059330312e-03,4.8991049826e-01,3.3040344715e-04,4.4593148232e+06,4.5089975595e+06,4.9024090171e-01,4.8958009481e-01
103,5.8157935739e+06,8.5964798927e+03,6.7646085088e+00,6.4194274655e-04,4.2186738551e-01,1.0183289647e-02,5.8243900537e+06,5.8071970940e+06,4.3205067515e-01,4.1168409586e-01
104,5.2894425988e+06,7.5564444065e+04,6.7233655871e+00,6.2047093371e-03,2.9186910391e-01,1.4252513647e-02,5.3650070429e+06,5.2138781548e+06,3.0612161756e-01,2.7761659026e-01
105,4.7177354693e+06,2.3512423038e+04,6.6737281920e+00,2.1644706861e-03,2.8748552501e-01,6.6056996584e-03,4.7412478924e+06,4.6942230463e+06,2.8087982535e-01,2.9409122467e-01
106,4.7566747069e+06,4.3307125568e+04,6.6772854520e+00,3.9541416061e-03,3.8548544049e-01,9.7721219063e-03,4.7999818325e+06,4.7133675814e+06,3.7571331859e-01,3.9525756240e-01
107,4.7578695416e+06,3.9035975933e+04,6.6773979122e+00,3.5632522506e-03,3.9994493127e-01,3.6859214306e-03,4.7188335657e+06,4.7969055176e+06,4.0363085270e-01,3.9625900984e-01
108,5.2227669954e+06,5.7923913002e+04,6.7178739397e+00,4.8168082752e-03,3.6678974330e-01,1.3349547982e-02,5.1648430824e+06,5.2806909084e+06,3.8013929129e-01,3.5344019532e-01
109,5.6600359082e+06,6.7354023457e+04,6.7527884344e+00,5.1683173152e-03,3.2306513190e-01,2.1854221821e-02,5.7273899317e+06,5.5926818848e+06,3.4491935372e-01,3.0121091008e-01
110,5.3899424672e+06,1.1557155848e+05,6.7314842704e+00,9.3136030093e-03,2.7130423486e-01,2.3328259587e-02,5.5055140257e+06,5.2743709087e+06,2.9463249445e-01,2.4797597528e-01
111,5.1083162427e+06,4.2030751705e+04,6.7082630744e+00,3.5734153098e-03,2.4749679118e-01,1.4617942274e-02,5.1503469944e+06,5.0662854910e+06,2.6211473346e-01,2.3287884891e-01
112,5.0900917053e+06,5.9026479721e+03,6.7067253148e+00,5.0362326268e-04,2.6112622023e-01,4.1452944279e-03,5.0959943533e+06,5.0841890574e+06,2.6527151465e-01,2.5698092580e-01
113,5.2796142697e+06,1.8982708454e+04,6.7225993868e+00,1.5615006395e-03,2.8282745183e-01,1.5395134687e-03,5.2606315613e+06,5.2985969782e+06,2.8436696529e-01,2.8128793836e-01
114,5.3079042435e+06,1.3467192650e+04,6.7249216816e+00,1.1018925241e-03,3.0098095536e-01,4.7007203102e-04,5.3213714361e+06,5.2944370508e+06,3.0145102739e-01,3.0051088333e-01
115,5.2902059555e+06,1.5612959862e+04,6.7234706887e+00,1.2817349755e-03,3.3916519582e-01,9.1408193111e-04,5.2745929956e+06,5.3058189154e+06,3.3825111389e-01,3.4007927775e-01
116,5.7606634498e+06,1.1727458239e+05,6.7603824902e+00,8.8425130639e-03,3.9484749734e-01,3.2399594784e-04,5.6433888674e+06,5.8779380322e+06,3.9517149329e-01,3.9452350140e-01
117,6.9332724810e+06,1.9939577579e+05,6.8407585928e+00,1.2493432465e-02,4.4486993551e-01,3.6047399044e-03,6.7338767052e+06,7.1326682568e+06,4.4847467542e-01,4.4126519561e-01
118,8.3695106506e+06,2.5991964340e+05,6.9224905384e+00,1.3491586549e-02,4.7962149978e-01,5.1152706146e-03,8.1095910072e+06,8.6294302940e+06,4.8473677039e-01,4.7450622916e-01
119,9.9981436729e+06,4.6145439148e+05,6.9994563145e+00,2.0058681539e-02,4.9932168424e-01,5.5425912142e-03,9.5366892815e+06,1.0459598064e+07,5.0486427546e-01,4.9377909303e-01
120,1.1580427766e+07,6.8274056911e+05,7.0629685139e+00,2.5634175947e-02,5.0724422932e-01,5.5156350136e-03,1.0897687197e+07,1.2263168335e+07,5.1275986433e-01,5.0172859430e-01
121,1.2753482580e+07,7.8245043755e+05,7.1048098968e+00,2.6678299852e-02,5.0852629542e-01,5.0286352634e-03,1.1971032143e+07,1.3535933018e+07,5.1355493069e-01,5.0349766016e-01
122,1.3556373596e+07,7.7492809296e+05,7.1314328056e+00,2.4852832907e-02,5.0670605898e-01,4.1450262070e-03,1.2781445503e+07,1.4331301689e+07,5.1085108519e-01,5.0256103277e-01
123,1.4176990271e+07,7.0567631721e+05,7.1510453551e+00,2.1635397429e-02,5.0352200866e-01,2.9248893261e-03,1.3471313953e+07,1.4882666588e+07,5.0644689798e-01,5.0059711933e-01
124,1.4732614517e+07,5.9557914734e+05,7.1679246617e+00,1.7566317151e-02,4.9971002340e-01,1.4124512672e-03,1.4137035370e+07,1.5328193665e+07,5.0112247467e-01,4.9829757214e-01
125,1.5273980141e+07,4.5188856125e+05,7.1837620688e+00,1.2852576541e-02,4.9555605650e-01,3.5133957863e-04,1.4822091579e+07,1.5725868702e+07,4.9520471692e-01,4.9590739608e-01
126,1.5822077036e+07,2.7734255791e+05,7.1991967638e+00,7.6134556049e-03,4.9117118120e-01,2.3283362389e-03,1.5544734478e+07,1.6099419594e+07,4.8884284496e-01,4.9349951744e-01
127,1.6386452436e+07,7.2958230972e+04,7.2144806371e+00,1.9336440646e-03,4.8660747707e-01,4.4849961996e-03,1.6313494205e+07,1.6459410667e+07,4.8212248087e-01,4.9109247327e-01
128,1.6972134590e+07,1.6106271744e+05,7.2297169106e+00,4.1215056923e-03,4.8189899325e-01,6.7915022373e-03,1.7133197308e+07,1.6811071873e+07,4.7510749102e-01,4.8869049549e-01
129,1.7582288504e+07,4.2487978935e+05,7.2449485602e+00,1.0496863272e-02,4.7707353532e-01,9.2208534479e-03,1.8007168293e+07,1.7157408714e+07,4.6785268188e-01,4.8629438877e-01
130,1.8219233751e+07,7.1882557869e+05,7.2601918255e+00,1.7143647339e-02,4.7215557098e-01,1.1748373508e-02,1.8938059330e+07,1.7500408173e+07,4.6040719748e-01,4.8390394449e-01
131,1.8884865761e+07,1.0433521271e+06,7.2754500796e+00,2.4018383403e-02,4.6716699004e-01,1.4351427555e-02,1.9928217888e+07,1.7841513634e+07,4.5281556249e-01,4.8151841760e-01
132,1.9580850363e+07,1.3989622593e+06,7.2907202929e+00,3.1081312188e-02,4.6212737262e-01,1.7009422183e-02,2.0979812622e+07,1.8181888103e+07,4.4511795044e-01,4.7913679481e-01
133,2.0308725357e+07,1.7862310410e+06,7.3059963095e+00,3.8296839341e-02,4.5705403388e-01,1.9703671336e-02,2.2094956398e+07,1.8522494316e+07,4.3735036254e-01,4.7675770521e-01
