step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
80,1.9914361238e+00,4.5636752707e-03,2.9916523974e-01,9.9568433763e-04,3.8683018526e-04,8.1156988186e-04,1.9926402569e+00,1.9853428602e+00,1.9963252544e+00,5.9309120843e-05,1.5032270458e-03,-4.0204561083e-04
81,1.9913866123e+00,4.6298389963e-03,2.9915440866e-01,1.0101616568e-03,3.8838655867e-04,8.1371015547e-04,1.9926402569e+00,1.9851943254e+00,1.9963252544e+00,5.9309724747e-05,1.5078949509e-03,-4.0204499965e-04
82,1.9913317760e+00,4.7031199665e-03,2.9914241188e-01,1.0261975250e-03,3.8979920767e-04,8.1565308722e-04,1.9926400185e+00,1.9850300550e+00,1.9963252544e+00,5.9310037614e-05,1.5121318866e-03,-4.0204430115e-04
83,1.9912719329e+00,4.7835098535e-03,2.9912931846e-01,1.0437904821e-03,3.9105452136e-04,8.1738008995e-04,1.9926402569e+00,1.9848502874e+00,1.9963252544e+00,5.9310408687e-05,1.5158972237e-03,-4.0204406832e-04
84,1.9912071228e+00,4.8704093924e-03,2.9911513711e-01,1.0628099016e-03,3.9213976925e-04,8.1887275434e-04,1.9926402569e+00,1.9846560955e+00,1.9963250160e+00,5.9310859797e-05,1.5191517305e-03,-4.0204328252e-04
85,1.9911378622e+00,4.9638518940e-03,2.9909998019e-01,1.0832631066e-03,3.9304263191e-04,8.2011499954e-04,1.9926402569e+00,1.9844480753e+00,1.9963252544e+00,5.9311365476e-05,1.5218596673e-03,-4.0204313700e-04
86,1.9910645485e+00,5.0627543553e-03,2.9908393467e-01,1.1049138054e-03,3.9375198806e-04,8.2109096945e-04,1.9926402569e+00,1.9842281342e+00,1.9963252544e+00,5.9311973018e-05,1.5239870409e-03,-4.0204304969e-04
87,1.9909877380e+00,5.1663854933e-03,2.9906712203e-01,1.1276022733e-03,3.9425800060e-04,8.2178651988e-04,1.9926402569e+00,1.9839979410e+00,1.9963250160e+00,5.9312420490e-05,1.5255036997e-03,-4.0204211837e-04
88,1.9909081856e+00,5.2739827419e-03,2.9904970716e-01,1.1511616342e-03,3.9455169948e-04,8.2218997795e-04,1.9926400185e+00,1.9837595224e+00,1.9963250160e+00,5.9313533711e-05,1.5263834503e-03,-4.0204188554e-04
89,1.9908267657e+00,5.3844442520e-03,2.9903188121e-01,1.1753509941e-03,3.9462640052e-04,8.2229227485e-04,1.9926400185e+00,1.9835152626e+00,1.9963250160e+00,5.9313595557e-05,1.5266068513e-03,-4.0204124525e-04
90,1.9907444318e+00,5.4963411935e-03,2.9901385292e-01,1.1998576359e-03,3.9447753443e-04,8.2208663558e-04,1.9926400185e+00,1.9832682610e+00,1.9963250160e+00,5.9314061218e-05,1.5261592343e-03,-4.0204069228e-04
91,1.9906617800e+00,5.6089503554e-03,2.9899575272e-01,1.2245231854e-03,3.9410226236e-04,8.2156944359e-04,1.9926400185e+00,1.9830201864e+00,1.9963251352e+00,5.9314883401e-05,1.5250324504e-03,-4.0204054676e-04
92,1.9905799627e+00,5.7204077308e-03,2.9897783314e-01,1.2489395359e-03,3.9350132041e-04,8.2074156719e-04,1.9926400185e+00,1.9827748537e+00,1.9963250160e+00,5.9315098042e-05,1.5232287114e-03,-4.0203984827e-04
