step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
63,2.9800896645e+05,4.7657690377e+02,5.4742287763e+00,6.9419998921e-04,5.0240463018e-01,2.5828015203e-03,2.9866991043e+05,2.9756424427e+05,2.9779274464e+05,5.0568300486e-01,4.9937063456e-01,5.0216025114e-01
64,3.1938884258e+05,5.2796570187e+02,5.5043191477e+00,7.1750196536e-04,5.2345979214e-01,2.5385065519e-03,3.2013349533e+05,3.1896917820e+05,3.1906385422e+05,5.2667307854e-01,5.2046674490e-01,5.2323955297e-01
65,3.4147715569e+05,5.7993445296e+02,5.5333610295e+00,7.3712958651e-04,5.4402722915e-01,2.4838762882e-03,3.4229643345e+05,3.4110028744e+05,3.4103474617e+05,5.4715931416e-01,5.4108387232e-01,5.4383850098e-01
66,3.6427001158e+05,6.2880972275e+02,5.5614227730e+00,7.4928311741e-04,5.6405176719e-01,2.4205819976e-03,3.6514780521e+05,3.6395444870e+05,3.6370778084e+05,5.6708806753e-01,5.6116449833e-01,5.6390273571e-01
67,3.8775933584e+05,6.7037858362e+02,5.5885616142e+00,7.5051828231e-04,5.8348743121e-01,2.3505202079e-03,3.8867239952e+05,3.8752381802e+05,3.8708178997e+05,5.8641511202e-01,5.8066016436e-01,5.8338701725e-01
68,4.1193161011e+05,6.9979341508e+02,5.6148244929e+00,7.3760529645e-04,6.0229698817e-01,2.2755961921e-03,4.1284899712e+05,4.1179442406e+05,4.1115140915e+05,6.0510486364e-01,5.9953129292e-01,6.0225480795e-01
69,4.3676784833e+05,7.1243918408e+02,5.6402500835e+00,7.0837913607e-04,6.2045194705e-01,2.1978789712e-03,4.3765115738e+05,4.3674592972e+05,4.3590645790e+05,6.2313061953e-01,6.1774712801e-01,6.2047809362e-01
70,4.6224284172e+05,7.0455244129e+02,5.6648696898e+00,6.6206905963e-04,6.3793158531e-01,2.1192829791e-03,4.6304631233e+05,4.6235141754e+05,4.6133079529e+05,6.4047318697e-01,6.3528519869e-01,6.3803637028e-01
71,4.8832543691e+05,6.7475987998e+02,5.6887089325e+00,6.0031165936e-04,6.5472267071e-01,2.0420036491e-03,4.8899698257e+05,4.8857679367e+05,4.8740253448e+05,6.5712100267e-01,6.5213042498e-01,6.5491658449e-01
72,5.1497920354e+05,6.2644659020e+02,5.7117893697e+00,5.2852253709e-04,6.7081880569e-01,1.9681942817e-03,5.1546106339e+05,5.1538209915e+05,5.1409444809e+05,6.7306929827e-01,6.6827505827e-01,6.7111206055e-01
73,5.4216187795e+05,5.7351483872e+02,5.7341287339e+00,4.5954004278e-04,6.8621929487e-01,1.8999418764e-03,5.4239130020e+05,5.4272089005e+05,5.4137344360e+05,6.8831855059e-01,6.8371725082e-01,6.8662208319e-01
74,5.6982673009e+05,5.5081941193e+02,5.7557426149e+00,4.1976003660e-04,7.0092908541e-01,1.8393872503e-03,5.6973795891e+05,5.7054133415e+05,5.6920089722e+05,7.0287513733e-01,6.9846117496e-01,7.0145094395e-01
75,5.9792234103e+05,6.1191315649e+02,5.7766445536e+00,4.4429833207e-04,7.1495719751e-01,1.7886796071e-03,5.9744758606e+05,5.9878630638e+05,5.9753313065e+05,7.1674925089e-01,7.1251505613e-01,7.1560728550e-01
76,6.2639304797e+05,7.8996394577e+02,5.7968465837e+00,5.4765602449e-04,7.2831642628e-01,1.7496778636e-03,6.2546348572e+05,6.2739448547e+05,6.2632117271e+05,7.2995477915e-01,7.2589135170e-01,7.2910314798e-01
77,6.5518086751e+05,1.0761514568e+03,5.8163606206e+00,7.1359465226e-04,7.4102306366e-01,1.7238950870e-03,6.5372867584e+05,6.5630130768e+05,6.5551261902e+05,7.4250870943e-01,7.3860621452e-01,7.4195426702e-01
78,6.8422404925e+05,1.4515753878e+03,5.8351973565e+00,9.2200820489e-04,7.5309544802e-01,1.7124968345e-03,6.8218350410e+05,6.8543858528e+05,6.8505005836e+05,7.5443041325e-01,7.5067800283e-01,7.5417792797e-01
79,7.1345906258e+05,1.9039955592e+03,5.8533675104e+00,1.1600874684e-03,7.6455402374e-01,1.7161034476e-03,7.1076755524e+05,7.1473670006e+05,7.1487293243e+05,7.6574087143e-01,7.6212728024e-01,7.6579391956e-01
80,7.4282046954e+05,2.4262629576e+03,5.8708815429e+00,1.4200447449e-03,7.7542034785e-01,1.7347284522e-03,7.3941993713e+05,7.4412398338e+05,7.4491748810e+05,7.7646225691e-01,7.7297592163e-01,7.7682286501e-01
81,7.7224246661e+05,3.0137580809e+03,5.8877503683e+00,1.6967544760e-03,7.8571754694e-01,1.7678817301e-03,7.6808023453e+05,7.7352924347e+05,7.7511792183e+05,7.8661805391e-01,7.8324741125e-01,7.8728717566e-01
82,8.0165775617e+05,3.6630217493e+03,5.9039844586e+00,1.9865492176e-03,7.9546870788e-01,1.8144267479e-03,7.9668688774e+05,8.0288047791e+05,8.0540590286e+05,7.9623162746e-01,7.9296553135e-01,7.9720896482e-01
83,8.3099991481e+05,4.3700767241e+03,5.9195949662e+00,2.2860952207e-03,8.0469749371e-01,1.8730414305e-03,8.2518053055e+05,8.3210754395e+05,8.3571166992e+05,8.0532693863e-01,8.0215448141e-01,8.0661106110e-01
84,8.6020240784e+05,5.1308230943e+03,5.9345929199e+00,2.5925465665e-03,8.1342746814e-01,1.9420476246e-03,8.5350198746e+05,8.6114091873e+05,8.6596431732e+05,8.1392782927e-01,8.1083858013e-01,8.1551599503e-01
85,8.8920030594e+05,5.9410045512e+03,5.9489899020e+00,2.9034490714e-03,8.2168201605e-01,2.0199386672e-03,8.8159360886e+05,8.8991384506e+05,8.9609346390e+05,8.2205760479e-01,8.1904178858e-01,8.2394665480e-01
86,9.1793012619e+05,6.7958095998e+03,5.9627977155e+00,3.2164903320e-03,8.2948406537e-01,2.1050155409e-03,9.0939922333e+05,9.1836252213e+05,9.2602863312e+05,8.2973945141e-01,8.2678776979e-01,8.3192497492e-01
87,9.4633061091e+05,7.6896052000e+03,5.9760285487e+00,3.5293488845e-03,8.3685608705e-01,2.1956161328e-03,9.3686523438e+05,9.4642648697e+05,9.5570011139e+05,8.3699566126e-01,8.3409994841e-01,8.3947265148e-01
88,9.7434275945e+05,8.6167590331e+03,5.9886947831e+00,3.8400544737e-03,8.4381983678e-01,2.2904287358e-03,9.6393947601e+05,9.7404880524e+05,9.8503999710e+05,8.4384810925e-01,8.4100061655e-01,8.4661078453e-01
89,1.0019107819e+06,9.5705225740e+03,6.0008092495e+00,4.1464403412e-03,8.5039639473e-01,2.3880792720e-03,9.9057350159e+05,1.0011769295e+06,1.0139819145e+06,8.5031777620e-01,8.4751170874e-01,8.5335969925e-01
