lambda	t	m_w	m_x	m_y
0.5	64	2.126029546523211e-34	2.126029546523211e-34	4.520001632689691e-68
0.5	65	6.803294548874277e-35	6.803294548874277e-35	4.6284816718742455e-69
0.5	66	2.1770542556397687e-35	2.1770542556397687e-35	4.7395652319992276e-70
0.5	67	6.96657361804726e-36	6.96657361804726e-36	4.85331479756721e-71
0.5	68	2.2293035577751235e-36	2.2293035577751235e-36	4.969794352708824e-72
0.5	69	7.133771384880396e-37	7.133771384880396e-37	5.089069417173836e-73
0.5	70	2.282806843161727e-37	2.282806843161727e-37	5.211207083186009e-74
0.5	71	7.304981898117528e-38	7.304981898117528e-38	5.3362760531824765e-75
0.5	72	2.3375942073976093e-38	2.3375942073976093e-38	5.464346678458857e-76
0.5	73	7.480301463672349e-39	7.480301463672349e-39	5.595490998741868e-77
0.5	74	2.3936964683751516e-39	2.3936964683751516e-39	5.729782782711673e-78
0.5	75	7.659828698800487e-40	7.659828698800487e-40	5.867297569496757e-79
0.5	76	2.4511451836161564e-40	2.4511451836161564e-40	6.008112711164681e-80
0.5	77	7.843664587571701e-41	7.843664587571701e-41	6.152307416232634e-81
0.5	78	2.5099726680229444e-41	2.5099726680229444e-41	6.299962794222218e-82
0.5	79	8.031912537673421e-42	8.031912537673421e-42	6.45116190128355e-83
0.5	80	2.570212012055495e-42	2.570212012055495e-42	6.605989786914356e-84
0.5	81	8.224678438577583e-43	8.224678438577583e-43	6.764533541800298e-85
0.5	82	2.6318971003448267e-43	2.6318971003448267e-43	6.926882346803507e-86
0.5	83	8.422070721103447e-44	8.422070721103447e-44	7.093127523126793e-87
0.5	84	2.6950626307531036e-44	2.6950626307531036e-44	7.26336258368184e-88
0.5	85	8.624200418409933e-45	8.624200418409933e-45	7.437683285690206e-89
0.5	86	2.759744133891179e-45	2.759744133891179e-45	7.616187684546773e-90
0.5	87	8.831181228451773e-46	8.831181228451773e-46	7.798976188975897e-91
0.5	88	2.8259779931045675e-46	2.8259779931045675e-46	7.986151617511319e-92
0.5	89	9.043129577934617e-47	9.043129577934617e-47	8.177819256331591e-93
0.5	90	2.893801464939078e-47	2.893801464939078e-47	8.374086918483555e-94
0.5	91	9.26016468780505e-48	9.26016468780505e-48	8.575065004527159e-95
0.5	92	2.963252700097616e-48	2.963252700097616e-48	8.780866564635811e-96
0.5	93	9.482408640312373e-49	9.482408640312373e-49	8.991607362187074e-97
0.5	94	3.0343707648999597e-49	3.0343707648999597e-49	9.207405938879566e-98
0.5	95	9.70998644767987e-50	9.70998644767987e-50	9.428383681412674e-99
0.5	96	3.1071956632575585e-50	3.1071956632575585e-50	9.654664889766579e-100
0.5	97	9.943026122424188e-51	9.943026122424188e-51	9.886376847120978e-101
0.5	98	3.181768359175741e-51	3.181768359175741e-51	1.0123649891451887e-101
0.5	99	1.0181658749362374e-51	1.0181658749362374e-51	1.0366617488846738e-102
0.5	100	3.2581307997959592e-52	3.2581307997959592e-52	1.0615416308579057e-103
0.5	101	1.0426018559347072e-52	1.0426018559347072e-52	1.0870186299984959e-104
0.5	102	3.3363259389910635e-53	3.3363259389910635e-53	1.1131070771184602e-105
0.5	103	1.0676243004771408e-53	1.0676243004771408e-53	1.1398216469693041e-106
0.5	104	3.4163977615268516e-54	3.4163977615268516e-54	1.1671773664965683e-107
0.5	105	1.0932472836885927e-54	1.0932472836885927e-54	1.1951896232924864e-108
0.5	106	3.498391307803497e-55	3.498391307803497e-55	1.2238741742515065e-109
0.5	107	1.1194852184971194e-55	1.1194852184971194e-55	1.2532471544335432e-110
0.5	108	3.5823526991907827e-56	3.5823526991907827e-56	1.2833250861399487e-111
0.5	109	1.1463528637410506e-56	1.1463528637410506e-56	1.3141248882073077e-112
0.5	110	3.6683291639713623e-57	3.6683291639713623e-57	1.3456638855242835e-113
0.5	111	1.1738653324708361e-57	1.1738653324708361e-57	1.3779598187768665e-114
0.5	112	3.756369063906676e-58	3.756369063906676e-58	1.4110308544275116e-115
0.5	113	1.2020381004501364e-58	1.2020381004501364e-58	1.444895594933772e-116
0.5	114	3.846521921440437e-59	3.846521921440437e-59	1.479573089212183e-117
0.5	115	1.2308870148609402e-59	1.2308870148609402e-59	1.5150828433532763e-118
0.5	116	3.9388384475550094e-60	3.9388384475550094e-60	1.5514448315937556e-119
0.5	117	1.260428303217603e-60	1.260428303217603e-60	1.5886795075520056e-120
0.5	118	4.033370570296329e-61	4.033370570296329e-61	1.6268078157332534e-121
0.5	119	1.2906785824948254e-61	1.2906785824948254e-61	1.665851203310852e-122
0.5	120	4.130171463983442e-62	4.130171463983442e-62	1.705831632190313e-123
0.5	121	1.3216548684747016e-62	1.3216548684747016e-62	1.7467715913628809e-124
0.5	122	4.2292955791190464e-63	4.2292955791190464e-63	1.788694109555591e-125
0.5	123	1.3533745853180947e-63	1.3533745853180947e-63	1.831622768184925e-126
0.5	124	4.330798673017904e-64	4.330798673017904e-64	1.875581714621364e-127
0.5	125	1.3858555753657293e-64	1.3858555753657293e-64	1.9205956757722766e-128
0.5	126	4.434737841170335e-65	4.434737841170335e-65	1.9666899719908127e-129
0.5	127	1.4191161091745074e-65	1.4191161091745074e-65	2.0138905313185923e-130
0.5	128	4.541171549358423e-66	4.541171549358423e-66	2.062223904070238e-131
0.5	129	1.4531748957946955e-66	1.4531748957946955e-66	2.1117172777679242e-132
0.5	130	4.650159666543026e-67	4.650159666543026e-67	2.1623984924343548e-133
0.5	131	1.4880510932937686e-67	1.4880510932937686e-67	2.2142960562527804e-134
0.5	132	4.76176349854006e-68	4.76176349854006e-68	2.2674391616028474e-135
0.5	133	1.5237643195328195e-68	1.5237643195328195e-68	2.3218577014813164e-136
0.5	134	4.876045822505024e-69	4.876045822505024e-69	2.377582286316869e-137
0.5	135	1.560334663201608e-69	1.560334663201608e-69	2.4346442611884757e-138
0.5	136	4.9930709222451474e-70	4.9930709222451474e-70	2.4930757234570006e-139
0.5	137	1.597782695118448e-70	1.597782695118448e-70	2.5529095408199713e-140
0.5	138	5.112904624379034e-71	5.112904624379034e-71	2.614179369799651e-141
0.5	139	1.6361294798012908e-71	1.6361294798012908e-71	2.6769196746748426e-142
0.5	140	5.235614335364132e-72	5.235614335364132e-72	2.74116574686704e-143
0.5	141	1.6753965873165222e-72	1.6753965873165222e-72	2.806953724791849e-144
0.5	142	5.3612690794128706e-73	5.3612690794128706e-73	2.874320614186853e-145
0.5	143	1.7156061054121185e-73	1.7156061054121185e-73	2.9433043089273374e-146
0.5	144	5.489939537318779e-74	5.489939537318779e-74	3.013943612341593e-147
0.5	145	1.7567806519420092e-74	1.7567806519420092e-74	3.0862782590377906e-148
0.5	146	5.62169808621443e-75	5.62169808621443e-75	3.160348937254699e-149
0.5	147	1.7989433875886179e-75	1.7989433875886179e-75	3.236197311748812e-150
0.5	148	5.756618840283578e-76	5.756618840283578e-76	3.313866047230784e-151
0.5	149	1.842118028890745e-76	1.842118028890745e-76	3.393398832364323e-152
0.5	150	5.894777692450385e-77	5.894777692450385e-77	3.4748404043410685e-153
0.5	151	1.8863288615841234e-77	1.8863288615841234e-77	3.5582365740452545e-154
0.5	152	6.036252357069194e-78	6.036252357069194e-78	3.6436342518223404e-155
0.5	153	1.9316007542621422e-78	1.9316007542621422e-78	3.7310814738660763e-156
0.5	154	6.181122413638857e-79	6.181122413638857e-79	3.820627429238865e-157
0.5	155	1.977959172364435e-79	1.977959172364435e-79	3.9123224875406e-158
0.5	156	6.329469351566192e-80	6.329469351566192e-80	4.006218227241575e-159
0.5	157	2.025430192501182e-80	2.025430192501182e-80	4.1023674646953755e-160
0.5	158	6.481376616003783e-81	6.481376616003783e-81	4.200824283848065e-161
0.5	159	2.0740405171212105e-81	2.0740405171212105e-81	4.301644066660418e-162
0.5	160	6.636929654787874e-82	6.636929654787874e-82	4.4048835242602687e-163
0.5	161	2.12381748953212e-82	2.12381748953212e-82	4.510600728842516e-164
0.5	162	6.796215966502786e-83	6.796215966502786e-83	4.618855146334741e-165
0.5	163	2.174789109280892e-83	2.174789109280892e-83	4.729707669846776e-166
0.5	164	6.959325149698855e-84	6.959325149698855e-84	4.843220653923099e-167
0.5	165	2.2269840479036334e-84	2.2269840479036334e-84	4.959457949617253e-168
0.5	166	7.126348953291627e-85	7.126348953291627e-85	5.078484940408067e-169
0.5	167	2.2804316650533212e-85	2.2804316650533212e-85	5.200368578977863e-170
0.5	168	7.297381328170628e-86	7.297381328170628e-86	5.325177424873332e-171
0.5	169	2.3351620250146016e-86	2.3351620250146016e-86	5.452981683070294e-172
0.5	170	7.472518480046724e-87	7.472518480046724e-87	5.5838532434639805e-173
0.5	171	2.3912059136149523e-87	2.3912059136149523e-87	5.7178657213071185e-174
0.5	172	7.651858923567848e-88	7.651858923567848e-88	5.855094498618491e-175
0.5	173	2.448594855541711e-88	2.448594855541711e-88	5.9956167665853334e-176
0.5	174	7.835503537733476e-89	7.835503537733476e-89	6.139511568983382e-177
0.5	175	2.507361132074713e-89	2.507361132074713e-89	6.286859846638986e-178
0.5	176	8.023555622639084e-90	8.023555622639084e-90	6.437744482958326e-179
0.5	177	2.5675377992445075e-90	2.5675377992445075e-90	6.592250350549329e-180
0.5	178	8.216120957582424e-91	8.216120957582424e-91	6.750464358962513e-181
0.5	179	2.629158706426376e-91	2.629158706426376e-91	6.912475503577615e-182
0.5	180	8.413307860564404e-92	8.413307860564404e-92	7.078374915663479e-183
0.5	181	2.6922585153806095e-92	2.6922585153806095e-92	7.248255913639403e-184
0.5	182	8.615227249217954e-93	8.615227249217954e-93	7.422214055566755e-185
0.5	183	2.756872719749745e-93	2.756872719749745e-93	7.600347192900356e-186
0.5	184	8.821992703199185e-94	8.821992703199185e-94	7.782755525529967e-187
0.5	185	2.8230376650237397e-94	2.8230376650237397e-94	7.969541658142688e-188
0.5	186	9.033720528075968e-95	9.033720528075968e-95	8.160810657938116e-189
0.5	187	2.89079056898431e-95	2.89079056898431e-95	8.35667011372863e-190
0.5	188	9.25052982074979e-96	9.25052982074979e-96	8.557230196458116e-191
0.5	189	2.9601695426399332e-96	2.9601695426399332e-96	8.762603721173112e-192
0.5	190	9.472542536447787e-97	9.472542536447787e-97	8.972906210481267e-193
0.5	191	3.031213611663292e-97	3.031213611663292e-97	9.188255959532819e-194
0.5	192	9.699883557322534e-98	9.699883557322534e-98	9.408774102561607e-195
0.5	193	3.1039627383432105e-98	3.1039627383432105e-98	9.634584681023082e-196
0.5	194	9.932680762698277e-99	9.932680762698277e-99	9.865814713367643e-197
0.5	195	3.178457844063449e-99	3.178457844063449e-99	1.0102594266488469e-197
0.5	196	1.017106510100304e-99	1.017106510100304e-99	1.0345056528884199e-198
0.5	197	3.2547408323209734e-100	3.2547408323209734e-100	1.0593337885577423e-199
0.5	198	1.0415170663427115e-100	1.0415170663427115e-100	1.0847577994831282e-200
0.5	199	3.3328546122966773e-101	3.3328546122966773e-101	1.1107919866707236e-201
0.5	200	1.066513475934937e-101	1.066513475934937e-101	1.1374509943508214e-202
