step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
275,1.7104583740e+02,0.0000000000e+00,2.2331125096e+00,0.0000000000e+00,1.7104582787e+00,0.0000000000e+00,2.3912165314e-02,0.0000000000e+00,1.7104583740e+02,1.7104582787e+00,2.3912165314e-02
280,1.7056944275e+02,0.0000000000e+00,2.2319012306e+00,0.0000000000e+00,1.7056943178e+00,0.0000000000e+00,2.4315249175e-02,0.0000000000e+00,1.7056944275e+02,1.7056943178e+00,2.4315249175e-02
285,1.7005984497e+02,0.0000000000e+00,2.2306017788e+00,0.0000000000e+00,1.7005983591e+00,0.0000000000e+00,2.4761622772e-02,0.0000000000e+00,1.7005984497e+02,1.7005983591e+00,2.4761622772e-02
290,1.6957250977e+02,0.0000000000e+00,2.2293554480e+00,0.0000000000e+00,1.6957249641e+00,0.0000000000e+00,2.5198331103e-02,0.0000000000e+00,1.6957250977e+02,1.6957249641e+00,2.5198331103e-02
295,1.6909652710e+02,0.0000000000e+00,2.2281346882e+00,0.0000000000e+00,1.6909652948e+00,0.0000000000e+00,2.5626715273e-02,0.0000000000e+00,1.6909652710e+02,1.6909652948e+00,2.5626715273e-02
300,1.6861561584e+02,0.0000000000e+00,2.2268977931e+00,0.0000000000e+00,1.6861561537e+00,0.0000000000e+00,2.6051139459e-02,0.0000000000e+00,1.6861561584e+02,1.6861561537e+00,2.6051139459e-02
305,1.6813882446e+02,0.0000000000e+00,2.2256680067e+00,0.0000000000e+00,1.6813883781e+00,0.0000000000e+00,2.6484539732e-02,0.0000000000e+00,1.6813882446e+02,1.6813883781e+00,2.6484539732e-02
310,1.6766529846e+02,0.0000000000e+00,2.2244431864e+00,0.0000000000e+00,1.6766529083e+00,0.0000000000e+00,2.6899144053e-02,0.0000000000e+00,1.6766529846e+02,1.6766529083e+00,2.6899144053e-02
315,1.6716896057e+02,0.0000000000e+00,2.2231556421e+00,0.0000000000e+00,1.6716896296e+00,0.0000000000e+00,2.7346177027e-02,0.0000000000e+00,1.6716896057e+02,1.6716896296e+00,2.7346177027e-02
320,1.6670281982e+02,0.0000000000e+00,2.2219429461e+00,0.0000000000e+00,1.6670280695e+00,0.0000000000e+00,2.7753999457e-02,0.0000000000e+00,1.6670281982e+02,1.6670280695e+00,2.7753999457e-02
325,1.6622689819e+02,0.0000000000e+00,2.2207013010e+00,0.0000000000e+00,1.6622689962e+00,0.0000000000e+00,2.8191611171e-02,0.0000000000e+00,1.6622689819e+02,1.6622689962e+00,2.8191611171e-02
330,1.6575817871e+02,0.0000000000e+00,2.2194749662e+00,0.0000000000e+00,1.6575818062e+00,0.0000000000e+00,2.8608387336e-02,0.0000000000e+00,1.6575817871e+02,1.6575818062e+00,2.8608387336e-02
335,1.6528260803e+02,0.0000000000e+00,2.2182271571e+00,0.0000000000e+00,1.6528261900e+00,0.0000000000e+00,2.9031464830e-02,0.0000000000e+00,1.6528260803e+02,1.6528261900e+00,2.9031464830e-02
340,1.6482730103e+02,0.0000000000e+00,2.2170291473e+00,0.0000000000e+00,1.6482731104e+00,0.0000000000e+00,2.9437070712e-02,0.0000000000e+00,1.6482730103e+02,1.6482731104e+00,2.9437070712e-02
345,1.6435273743e+02,0.0000000000e+00,2.2157769420e+00,0.0000000000e+00,1.6435272694e+00,0.0000000000e+00,2.9851187021e-02,0.0000000000e+00,1.6435273743e+02,1.6435272694e+00,2.9851187021e-02
350,1.6388740540e+02,0.0000000000e+00,2.2145455797e+00,0.0000000000e+00,1.6388740540e+00,0.0000000000e+00,3.0303422362e-02,0.0000000000e+00,1.6388740540e+02,1.6388740540e+00,3.0303422362e-02
355,1.6343457031e+02,0.0000000000e+00,2.2133439256e+00,0.0000000000e+00,1.6343457699e+00,0.0000000000e+00,3.0706198886e-02,0.0000000000e+00,1.6343457031e+02,1.6343457699e+00,3.0706198886e-02
360,1.6297506714e+02,0.0000000000e+00,2.2121211686e+00,0.0000000000e+00,1.6297506094e+00,0.0000000000e+00,3.1103458256e-02,0.0000000000e+00,1.6297506714e+02,1.6297506094e+00,3.1103458256e-02
365,1.6249984741e+02,0.0000000000e+00,2.2108529575e+00,0.0000000000e+00,1.6249983311e+00,0.0000000000e+00,3.1533628702e-02,0.0000000000e+00,1.6249984741e+02,1.6249983311e+00,3.1533628702e-02
370,1.6203025818e+02,0.0000000000e+00,2.2095961240e+00,0.0000000000e+00,1.6203025579e+00,0.0000000000e+00,3.1949747354e-02,0.0000000000e+00,1.6203025818e+02,1.6203025579e+00,3.1949747354e-02
375,1.6157887268e+02,0.0000000000e+00,2.2083845738e+00,0.0000000000e+00,1.6157886982e+00,0.0000000000e+00,3.2374996692e-02,0.0000000000e+00,1.6157887268e+02,1.6157886982e+00,3.2374996692e-02
380,1.6110850525e+02,0.0000000000e+00,2.2071184683e+00,0.0000000000e+00,1.6110850573e+00,0.0000000000e+00,3.2807148993e-02,0.0000000000e+00,1.6110850525e+02,1.6110850573e+00,3.2807148993e-02
385,1.6067123413e+02,0.0000000000e+00,2.2059381296e+00,0.0000000000e+00,1.6067123413e+00,0.0000000000e+00,3.3207334578e-02,0.0000000000e+00,1.6067123413e+02,1.6067123413e+00,3.3207334578e-02
390,1.6022770691e+02,0.0000000000e+00,2.2047376173e+00,0.0000000000e+00,1.6022770405e+00,0.0000000000e+00,3.3620789647e-02,0.0000000000e+00,1.6022770691e+02,1.6022770405e+00,3.3620789647e-02
395,1.5976759338e+02,0.0000000000e+00,2.2034886934e+00,0.0000000000e+00,1.5976760387e+00,0.0000000000e+00,3.4035403281e-02,0.0000000000e+00,1.5976759338e+02,1.5976760387e+00,3.4035403281e-02
400,1.5929945374e+02,0.0000000000e+00,2.2022142865e+00,0.0000000000e+00,1.5929945707e+00,0.0000000000e+00,3.4465294331e-02,0.0000000000e+00,1.5929945374e+02,1.5929945707e+00,3.4465294331e-02
