step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
59,2.1995575428e+05,0.0000000000e+00,5.3423353281e+00,0.0000000000e+00,2.2020039558e+05,0.0000000000e+00,5.3428180948e+00,0.0000000000e+00,3.4091186523e-01,0.0000000000e+00,2.1995575428e+05,2.2020039558e+05,3.4091186523e-01
60,2.3854403496e+05,0.0000000000e+00,5.3775685610e+00,0.0000000000e+00,2.3879745007e+05,0.0000000000e+00,5.3780296850e+00,0.0000000000e+00,3.5167604685e-01,0.0000000000e+00,2.3854403496e+05,2.3879745007e+05,3.5167604685e-01
61,2.5786831379e+05,0.0000000000e+00,5.4113979804e+00,0.0000000000e+00,2.5812957287e+05,0.0000000000e+00,5.4118377628e+00,0.0000000000e+00,3.6144393682e-01,0.0000000000e+00,2.5786831379e+05,2.5812957287e+05,3.6144393682e-01
62,2.7791292667e+05,0.0000000000e+00,5.4439087478e+00,0.0000000000e+00,2.7818119526e+05,0.0000000000e+00,5.4443277688e+00,0.0000000000e+00,3.7018153071e-01,0.0000000000e+00,2.7791292667e+05,2.7818119526e+05,3.7018153071e-01
63,2.9867002964e+05,0.0000000000e+00,5.4751916451e+00,0.0000000000e+00,2.9894449711e+05,0.0000000000e+00,5.4755905635e+00,0.0000000000e+00,3.7787947059e-01,0.0000000000e+00,2.9867002964e+05,2.9894449711e+05,3.7787947059e-01
64,3.2013356686e+05,0.0000000000e+00,5.5053312135e+00,0.0000000000e+00,3.2041344643e+05,0.0000000000e+00,5.5057107333e+00,0.0000000000e+00,3.8455036283e-01,0.0000000000e+00,3.2013356686e+05,3.2041344643e+05,3.8455036283e-01
65,3.4229643345e+05,0.0000000000e+00,5.5344023740e+00,0.0000000000e+00,3.4258112907e+05,0.0000000000e+00,5.5347634364e+00,0.0000000000e+00,3.9022567868e-01,0.0000000000e+00,3.4229643345e+05,3.4258112907e+05,3.9022567868e-01
66,3.6514794827e+05,0.0000000000e+00,5.5624688647e+00,0.0000000000e+00,3.6543674469e+05,0.0000000000e+00,5.5628122136e+00,0.0000000000e+00,3.9495158195e-01,0.0000000000e+00,3.6514794827e+05,3.6543674469e+05,3.9495158195e-01
67,3.8867259026e+05,0.0000000000e+00,5.5895839146e+00,0.0000000000e+00,3.8896493912e+05,0.0000000000e+00,5.5899104563e+00,0.0000000000e+00,3.9878541231e-01,0.0000000000e+00,3.8867259026e+05,3.8896493912e+05,3.9878541231e-01
68,4.1284918785e+05,0.0000000000e+00,5.6157914346e+00,0.0000000000e+00,4.1314458847e+05,0.0000000000e+00,5.6161020686e+00,0.0000000000e+00,4.0179187059e-01,0.0000000000e+00,4.1284918785e+05,4.1314458847e+05,4.0179187059e-01
69,4.3765115738e+05,0.0000000000e+00,5.6411280813e+00,0.0000000000e+00,4.3794908524e+05,0.0000000000e+00,5.6414236235e+00,0.0000000000e+00,4.0404012799e-01,0.0000000000e+00,4.3765115738e+05,4.3794908524e+05,4.0404012799e-01
70,4.6304640770e+05,0.0000000000e+00,5.6656245193e+00,0.0000000000e+00,4.6334643364e+05,0.0000000000e+00,5.6659058246e+00,0.0000000000e+00,4.0560126305e-01,0.0000000000e+00,4.6304640770e+05,4.6334643364e+05,4.0560126305e-01
71,4.8899722099e+05,0.0000000000e+00,5.6893063910e+00,0.0000000000e+00,4.8929891586e+05,0.0000000000e+00,5.6895742535e+00,0.0000000000e+00,4.0654587746e-01,0.0000000000e+00,4.8899722099e+05,4.8929891586e+05,4.0654587746e-01
72,5.1546106339e+05,0.0000000000e+00,5.7121958654e+00,0.0000000000e+00,5.1576414108e+05,0.0000000000e+00,5.7124511442e+00,0.0000000000e+00,4.0694290400e-01,0.0000000000e+00,5.1546106339e+05,5.1576414108e+05,4.0694290400e-01
73,5.4239158630e+05,0.0000000000e+00,5.7343129440e+00,0.0000000000e+00,5.4269561768e+05,0.0000000000e+00,5.7345563146e+00,0.0000000000e+00,4.0685814619e-01,0.0000000000e+00,5.4239158630e+05,5.4269561768e+05,4.0685814619e-01
74,5.6973810196e+05,0.0000000000e+00,5.7556752644e+00,0.0000000000e+00,5.7004289627e+05,0.0000000000e+00,5.7559075380e+00,0.0000000000e+00,4.0635362267e-01,0.0000000000e+00,5.6973810196e+05,5.7004289627e+05,4.0635362267e-01
75,5.9744749069e+05,0.0000000000e+00,5.7762997414e+00,0.0000000000e+00,5.9775276184e+05,0.0000000000e+00,5.7765215914e+00,0.0000000000e+00,4.0548720956e-01,0.0000000000e+00,5.9744749069e+05,5.9775276184e+05,4.0548720956e-01
76,6.2546377182e+05,0.0000000000e+00,5.7962021595e+00,0.0000000000e+00,6.2576932907e+05,0.0000000000e+00,5.7964142732e+00,0.0000000000e+00,4.0431183577e-01,0.0000000000e+00,6.2546377182e+05,6.2576932907e+05,4.0431183577e-01
77,6.5372900963e+05,0.0000000000e+00,5.8153977575e+00,0.0000000000e+00,6.5403461456e+05,0.0000000000e+00,5.8156007338e+00,0.0000000000e+00,4.0287619829e-01,0.0000000000e+00,6.5372900963e+05,6.5403461456e+05,4.0287619829e-01
78,6.8218374252e+05,0.0000000000e+00,5.8339013653e+00,0.0000000000e+00,6.8248925209e+05,0.0000000000e+00,5.8340958165e+00,0.0000000000e+00,4.0122419596e-01,0.0000000000e+00,6.8218374252e+05,6.8248925209e+05,4.0122419596e-01
79,7.1076769829e+05,0.0000000000e+00,5.8517276825e+00,0.0000000000e+00,7.1107292175e+05,0.0000000000e+00,5.8519141407e+00,0.0000000000e+00,3.9939525723e-01,0.0000000000e+00,7.1076769829e+05,7.1107292175e+05,3.9939525723e-01
80,7.3942027092e+05,0.0000000000e+00,5.8688913524e+00,0.0000000000e+00,7.3972511292e+05,0.0000000000e+00,5.8690703628e+00,0.0000000000e+00,3.9742481709e-01,0.0000000000e+00,7.3942027092e+05,7.3972511292e+05,3.9742481709e-01
81,7.6808013916e+05,0.0000000000e+00,5.8854065354e+00,0.0000000000e+00,7.6838450432e+05,0.0000000000e+00,5.8855785980e+00,0.0000000000e+00,3.9534449577e-01,0.0000000000e+00,7.6808013916e+05,7.6838450432e+05,3.9534449577e-01
82,7.9668726921e+05,0.0000000000e+00,5.9012878773e+00,0.0000000000e+00,7.9699087143e+05,0.0000000000e+00,5.9014533471e+00,0.0000000000e+00,3.9318192005e-01,0.0000000000e+00,7.9668726921e+05,7.9699087143e+05,3.9318192005e-01
83,8.2518072128e+05,0.0000000000e+00,5.9165490730e+00,0.0000000000e+00,8.2548370361e+05,0.0000000000e+00,5.9167085040e+00,0.0000000000e+00,3.9096170664e-01,0.0000000000e+00,8.2518072128e+05,8.2548370361e+05,3.9096170664e-01
84,8.5350227356e+05,0.0000000000e+00,5.9312046823e+00,0.0000000000e+00,8.5380449295e+05,0.0000000000e+00,5.9313584358e+00,0.0000000000e+00,3.8870543242e-01,0.0000000000e+00,8.5350227356e+05,8.5380449295e+05,3.8870543242e-01
85,8.8159389496e+05,0.0000000000e+00,5.9452685740e+00,0.0000000000e+00,8.8189535141e+05,0.0000000000e+00,5.9454170534e+00,0.0000000000e+00,3.8643163443e-01,0.0000000000e+00,8.8159389496e+05,8.8189535141e+05,3.8643163443e-01
86,9.0939941406e+05,0.0000000000e+00,5.9587546700e+00,0.0000000000e+00,9.0970020294e+05,0.0000000000e+00,5.9588982916e+00,0.0000000000e+00,3.8415688276e-01,0.0000000000e+00,9.0939941406e+05,9.0970020294e+05,3.8415688276e-01
87,9.3686532974e+05,0.0000000000e+00,5.9716771675e+00,0.0000000000e+00,9.3716526031e+05,0.0000000000e+00,5.9718161814e+00,0.0000000000e+00,3.8189509511e-01,0.0000000000e+00,9.3686532974e+05,9.3716526031e+05,3.8189509511e-01
88,9.6393995285e+05,0.0000000000e+00,5.9840499810e+00,0.0000000000e+00,9.6423902512e+05,0.0000000000e+00,5.9841847045e+00,0.0000000000e+00,3.7965837121e-01,0.0000000000e+00,9.6393995285e+05,9.6423902512e+05,3.7965837121e-01
89,9.9057378769e+05,0.0000000000e+00,5.9958868316e+00,0.0000000000e+00,9.9087200165e+05,0.0000000000e+00,5.9960175570e+00,0.0000000000e+00,3.7745687366e-01,0.0000000000e+00,9.9057378769e+05,9.9087200165e+05,3.7745687366e-01
90,1.0167215347e+06,0.0000000000e+00,6.0072020223e+00,0.0000000000e+00,1.0170187950e+06,0.0000000000e+00,6.0073289790e+00,0.0000000000e+00,3.7529936433e-01,0.0000000000e+00,1.0167215347e+06,1.0170187950e+06,3.7529936433e-01
91,1.0423396111e+06,0.0000000000e+00,6.0180092422e+00,0.0000000000e+00,1.0426361084e+06,0.0000000000e+00,6.0181327613e+00,0.0000000000e+00,3.7319287658e-01,0.0000000000e+00,1.0423396111e+06,1.0426361084e+06,3.7319287658e-01
92,1.0673895836e+06,0.0000000000e+00,6.0283229603e+00,0.0000000000e+00,1.0676852226e+06,0.0000000000e+00,6.0284432319e+00,0.0000000000e+00,3.7114340067e-01,0.0000000000e+00,1.0673895836e+06,1.0676852226e+06,3.7114340067e-01
93,1.0918368340e+06,0.0000000000e+00,6.0381577415e+00,0.0000000000e+00,1.0921319008e+06,0.0000000000e+00,6.0382750929e+00,0.0000000000e+00,3.6915558577e-01,0.0000000000e+00,1.0918368340e+06,1.0921319008e+06,3.6915558577e-01
94,1.1156486511e+06,0.0000000000e+00,6.0475274447e+00,0.0000000000e+00,1.1159427643e+06,0.0000000000e+00,6.0476419206e+00,0.0000000000e+00,3.6723306775e-01,0.0000000000e+00,1.1156486511e+06,1.1159427643e+06,3.6723306775e-01
95,1.1387993813e+06,0.0000000000e+00,6.0564472225e+00,0.0000000000e+00,1.1390926361e+06,0.0000000000e+00,6.0565590443e+00,0.0000000000e+00,3.6537855864e-01,0.0000000000e+00,1.1387993813e+06,1.1390926361e+06,3.6537855864e-01
96,1.1612662315e+06,0.0000000000e+00,6.0649317974e+00,0.0000000000e+00,1.1615587234e+06,0.0000000000e+00,6.0650411708e+00,0.0000000000e+00,3.6359384656e-01,0.0000000000e+00,1.1612662315e+06,1.1615587234e+06,3.6359384656e-01
97,1.1830316544e+06,0.0000000000e+00,6.0729963652e+00,0.0000000000e+00,1.1833237648e+06,0.0000000000e+00,6.0731035866e+00,0.0000000000e+00,3.6188012362e-01,0.0000000000e+00,1.1830316544e+06,1.1833237648e+06,3.6188012362e-01
98,1.2040821075e+06,0.0000000000e+00,6.0806561029e+00,0.0000000000e+00,1.2043734550e+06,0.0000000000e+00,6.0807611749e+00,0.0000000000e+00,3.6023780704e-01,0.0000000000e+00,1.2040821075e+06,1.2043734550e+06,3.6023780704e-01
99,1.2244092941e+06,0.0000000000e+00,6.0879266175e+00,0.0000000000e+00,1.2247001648e+06,0.0000000000e+00,6.0880297763e+00,0.0000000000e+00,3.5866671801e-01,0.0000000000e+00,1.2244092941e+06,1.2247001648e+06,3.5866671801e-01
100,1.2440085411e+06,0.0000000000e+00,6.0948233621e+00,0.0000000000e+00,1.2442990303e+06,0.0000000000e+00,6.0949247627e+00,0.0000000000e+00,3.5716605186e-01,0.0000000000e+00,1.2440085411e+06,1.2442990303e+06,3.5716605186e-01
